CountryCode,Gold,Total
AFG,0,0
AHO,0,0
AIN,0,0
ALB,0,0
ALG,1,2
AND,0,0
ANG,0,0
ANT,0,0
ANZ,0,0
ARG,0,1
ARM,0,0
ARU,0,0
ASA,0,0
AUS,7,27
AUT,0,2
AZE,0,0
BAH,0,1
BAN,0,0
BAR,0,0
BDI,0,0
BEL,0,3
BEN,0,0
BER,0,0
BHU,0,0
BIH,0,0
BIZ,0,0
BLR,0,0
BOH,0,0
BOL,0,0
BOT,0,0
BRA,2,3
BRN,0,0
BRU,0,0
BUL,3,16
BUR,0,0
CAF,0,0
CAM,0,0
CAN,7,18
CAY,0,0
CGO,0,0
CHA,0,0
CHI,0,0
CHN,16,54
CIV,0,0
CMR,0,0
COD,0,0
COK,0,0
COL,0,1
COM,0,0
CPV,0,0
CRC,0,0
CRO,0,3
CRT,0,0
CUB,14,31
CYP,0,0
CZE,0,0
DEN,1,6
DJI,0,0
DMA,0,0
DOM,0,0
ECU,0,0
EGY,0,0
EOR,0,0
ERI,0,0
ESA,0,0
ESP,13,22
EST,1,2
ETH,1,3
EUN,45,112
FIJ,0,0
FIN,1,5
FRA,8,29
FRG,0,0
FSM,0,0
GAB,0,0
GAM,0,0
GBR,5,20
GBS,0,0
GDR,0,0
GEO,0,0
GEQ,0,0
GER,33,82
GHA,0,1
GRE,2,2
GRN,0,0
GUA,0,0
GUI,0,0
GUM,0,0
GUY,0,0
HAI,0,0
HKG,0,0
HON,0,0
HUN,11,30
INA,2,5
IND,0,0
IOA,0,0
IRI,0,3
IRL,1,2
IRQ,0,0
ISL,0,0
ISR,0,2
ISV,0,0
ITA,6,19
IVB,0,0
JAM,0,4
JOR,0,0
JPN,3,22
KAZ,0,0
KEN,2,8
KGZ,0,0
KIR,0,0
KOR,12,29
KOS,0,0
KSA,0,0
KUW,0,0
LAO,0,0
LAT,0,3
LBA,0,0
LBN,0,0
LBR,0,0
LCA,0,0
LES,0,0
LIB,0,0
LIE,0,0
LTU,1,2
LUX,0,0
MAD,0,0
MAL,0,0
MAR,1,3
MAS,0,1
MAW,0,0
MDA,0,0
MDV,0,0
MEX,0,1
MGL,0,2
MHL,0,0
MKD,0,0
MLI,0,0
MLT,0,0
MNE,0,0
MON,0,0
MOZ,0,0
MRI,0,0
MTN,0,0
MYA,0,0
NAM,0,2
NBO,0,0
NCA,0,0
NED,2,15
NEP,0,0
NFL,0,0
NGR,0,4
NIG,0,0
NOR,2,7
NRU,0,0
NZL,1,10
OMA,0,0
PAK,0,1
PAN,0,0
PAR,0,0
PER,0,1
PHI,0,1
PLE,0,0
PLW,0,0
PNG,0,0
POL,3,19
POR,0,0
PRK,4,9
PUR,0,1
QAT,0,1
RHO,0,0
ROC,0,0
ROT,0,0
ROU,4,18
RSA,0,2
RUS,0,0
RWA,0,0
SAA,0,0
SAM,0,0
SCG,0,0
SEN,0,0
SEY,0,0
SGP,0,0
SKN,0,0
SLE,0,0
SLO,0,2
SMR,0,0
SOL,0,0
SOM,0,0
SRB,0,0
SRI,0,0
SSD,0,0
STP,0,0
SUD,0,0
SUI,1,1
SUR,0,1
SVK,0,0
SWE,1,12
SWZ,0,0
SYR,0,0
TAN,0,0
TCH,4,7
TGA,0,0
THA,0,1
TJK,0,0
TKM,0,0
TLS,0,0
TOG,0,0
TPE,0,0
TTO,0,0
TUN,0,0
TUR,2,6
TUV,0,0
UAE,0,0
UAR,0,0
UGA,0,0
UKR,0,0
UNK,0,0
URS,0,0
URU,0,0
USA,37,108
UZB,0,0
VAN,0,0
VEN,0,0
VIE,0,0
VIN,0,0
VNM,0,0
WIF,0,0
YAR,0,0
YEM,0,0
YMD,0,0
YUG,0,0
ZAM,0,0
ZIM,0,0
