Country,total,gold,TlLower,TlUpper,GLower,GUpper
FRA,86,41,66,107,33,48
USA,85,28,75,95,24,32
CHN,80,30,65,94,24,35
GBR,64,20,58,71,18,23
AUS,48,19,41,56,17,22
KOR,40,11,32,48,8,14
GER,37,11,30,44,8,13
ITA,32,9,27,37,7,11
CAN,30,9,25,34,7,10
NED,27,10,22,32,8,12
RUS,23,6,18,28,4,8
JPN,22,10,14,30,7,13
HUN,20,7,15,25,5,9
POL,19,5,16,22,3,6
INA,19,4,10,27,1,7
CUB,17,5,14,21,4,7
NZL,17,5,14,20,3,6
DEN,16,4,11,22,2,6
ESP,16,3,10,22,1,5
BRA,14,5,9,19,3,7
MAS,14,3,8,20,1,5
KEN,12,6,9,16,5,7
GRE,12,4,10,14,3,5
MGL,11,4,9,13,3,4
GEO,11,3,8,13,2,3
SRB,10,4,8,13,4,5
CRO,10,3,7,13,1,4
TUR,10,2,8,11,1,2
UKR,10,1,7,13,-0,2
AUT,9,3,7,11,3,4
LTU,9,3,6,12,2,4
POR,9,3,6,11,2,4
SLO,9,3,8,10,3,4
JAM,8,4,6,10,3,5
SWE,8,3,5,11,1,4
IND,8,2,5,11,1,3
MEX,8,2,4,12,1,3
KAZ,8,1,6,11,-0,2
EGY,7,2,5,9,1,3
ROU,7,1,4,10,-0,3
BLR,7,-0,3,10,-1,1
PRK,6,3,4,8,2,4
BEL,6,2,4,8,2,3
FIN,6,2,4,8,1,2
ETH,5,3,4,6,2,3
TPE,5,2,2,7,1,3
EST,5,1,4,6,1,1
NGR,5,1,2,7,0,2
IRI,5,0,2,7,-1,1
SCG,4,2,3,5,1,2
SGP,4,2,3,6,1,2
TUN,4,1,3,5,1,1
AZE,4,-1,2,7,-2,-0
ALG,3,1,2,4,0,1
COL,3,1,1,5,-0,1
CYP,3,1,2,3,1,1
EUN,3,1,1,5,0,2
FIJ,3,1,1,6,0,2
HKG,3,1,1,5,0,2
IRL,3,1,1,5,-0,1
ISR,3,1,0,5,0,2
LAT,3,1,2,4,1,2
MAR,3,1,2,3,1,1
PER,3,1,3,4,1,1
QAT,3,1,2,4,1,2
SVK,3,1,2,4,1,2
THA,3,1,1,5,0,2
CZE,3,-0,-0,7,-2,1
DOM,2,1,1,3,1,1
ECU,2,1,1,3,1,1
GUA,2,1,2,3,1,1
IOA,2,1,2,3,1,1
RSA,2,1,-0,5,0,2
TTO,2,1,2,3,1,1
VIE,2,1,2,3,0,1
ARM,2,-0,0,3,-1,1
KGZ,2,-0,1,3,-1,0
URU,2,0,1,2,0,1
VEN,2,0,1,3,-0,1
ARG,2,-1,-2,6,-2,1
UZB,2,-1,-0,3,-1,0
BAH,1,1,1,2,1,1
BRN,1,1,1,2,0,1
EOR,1,1,1,2,0,1
KUW,1,1,1,2,0,1
PUR,1,1,1,2,0,1
CIV,1,0,0,2,0,1
GAB,1,0,0,1,0,0
KOS,1,0,1,2,0,1
KSA,1,0,0,1,0,0
MDA,1,0,1,2,0,1
MOZ,1,0,0,1,-0,0
NAM,1,0,0,1,0,0
SEY,1,0,0,1,-0,0
SMR,1,0,1,2,0,1
TCH,1,0,0,1,-0,0
TJK,1,0,1,1,0,0
TKM,1,0,0,2,0,1
UAE,1,0,1,2,0,1
UGA,1,0,0,1,0,0
AFG,-0,-0,-0,0,-0,-0
AHO,-0,-0,-0,0,-0,-0
AIN,-0,-0,-0,0,-0,-0
ALB,0,-0,-0,0,-0,0
AND,-0,-0,-0,0,-0,-0
ANG,0,0,0,1,-0,0
ANT,0,-0,-0,0,-0,0
ANZ,-0,-0,-0,0,-0,-0
ARU,0,-0,-0,1,-0,0
ASA,0,-0,-0,0,-0,0
BAN,-0,-0,-0,0,-0,-0
BAR,0,0,-0,1,-0,0
BDI,0,0,-0,0,-0,0
BEN,0,0,-0,0,-0,0
BER,0,-0,-0,0,-0,0
BHU,-0,-0,-1,0,-0,-0
BIH,0,-0,-0,0,-0,0
BIZ,-0,-0,-0,0,-0,-0
BOH,-0,-0,-0,0,-0,-0
BOL,0,0,-0,0,-0,0
BOT,0,0,0,1,0,0
BRU,-0,-0,-0,0,-0,-0
BUR,0,0,-0,1,-0,0
CAF,-0,-0,-0,0,-0,0
CAM,-0,-0,-0,0,-0,0
CAY,-0,-0,-0,0,-0,0
CGO,-0,-0,-0,0,-0,0
CHA,-0,-0,-0,0,-0,-0
COD,0,-0,-0,0,-0,0
COK,0,-0,-0,0,-0,0
COM,-0,-0,-0,0,-0,0
CRC,0,-0,-0,0,-0,0
CRT,-0,-0,-0,0,-0,-0
DJI,0,0,-0,1,-0,0
DMA,-0,-0,-0,0,-0,-0
ERI,0,0,0,1,-0,0
ESA,0,-0,-0,0,-0,0
FRG,-0,-0,-0,0,-0,-0
FSM,-0,-0,-0,0,-0,0
GAM,-0,-0,-0,0,-0,-0
GBS,0,-0,-0,1,-0,0
GDR,-0,-0,-0,0,-0,-0
GEQ,-0,-0,-0,0,-0,-0
GRN,0,0,-0,1,-0,0
GUI,0,0,-0,0,-0,0
GUM,-0,-0,-0,0,-0,0
GUY,-0,-0,-0,0,-0,0
HAI,0,0,-0,1,-0,0
HON,0,-0,-0,1,-0,-0
IRQ,-0,-0,-0,0,-0,-0
ISV,-0,-0,-0,0,-0,0
IVB,-0,-0,-0,0,-0,0
JOR,0,-0,-0,1,-0,0
KIR,-0,-0,-0,0,-0,0
LAO,-0,-0,-0,0,-0,-0
LBA,0,-0,-0,0,-0,0
LBN,-0,-0,-0,0,-0,-0
LBR,-0,-0,-0,0,-0,-0
LCA,0,0,0,1,-0,0
LES,-0,-0,-0,0,-0,-0
LIB,-0,-0,-0,0,-0,-0
LIE,-0,-0,-0,0,-0,-0
LUX,-0,-0,-1,0,-0,0
MAD,0,0,-0,1,-0,0
MAL,-0,-0,-0,0,-0,-0
MAW,-0,-0,-0,0,-0,0
MDV,-0,-0,-0,0,-0,0
MHL,-0,-0,-0,0,-0,-0
MKD,0,0,0,1,-0,0
MLI,0,-0,-0,0,-0,0
MLT,0,-0,-0,0,-0,0
MON,0,-0,-0,0,-0,0
MRI,0,-0,-0,1,-0,0
MTN,-0,-0,-0,0,-0,-0
MYA,0,-0,-0,0,-0,0
NBO,-0,-0,-0,0,-0,-0
NCA,0,-0,-0,0,-0,0
NEP,0,-0,-0,0,-0,0
NFL,-0,-0,-0,0,-0,-0
NIG,0,0,0,1,0,0
NRU,-0,-0,-0,0,-0,0
OMA,0,-0,-0,0,-0,0
PAK,0,0,-0,1,0,0
PAN,0,0,-0,1,-0,0
PLE,0,0,-0,0,-0,0
PLW,-0,-0,-0,0,-0,0
PNG,0,0,-0,1,-0,0
RHO,-0,-0,-0,0,-0,-0
ROT,0,0,-0,1,-0,0
RWA,-0,-0,-0,0,-0,-0
SAA,-0,-0,-0,0,-0,-0
SAM,0,-0,-0,0,-0,0
SEN,0,0,0,1,-0,0
SKN,0,-0,-0,0,-0,0
SLE,-0,-0,-0,0,-0,0
SOL,-0,-0,-0,0,-0,0
SOM,-0,-0,-0,0,-0,-0
SRI,0,0,-0,1,-0,0
SSD,-0,-0,-0,0,-0,0
STP,-0,-0,-0,0,-0,-0
SUD,0,0,0,1,-0,0
SUR,-0,-0,-0,0,-0,0
SWZ,-0,-0,-0,0,-0,-0
SYR,-0,-0,-0,0,-0,0
TAN,0,-0,-0,0,-0,0
TGA,-0,-0,-0,0,-0,-0
TLS,-0,-0,-0,0,-0,-0
TOG,-0,-0,-0,0,-0,0
TUV,-0,-0,-0,0,-0,-0
UAR,-0,-0,-0,0,-0,-0
UNK,-0,-0,-0,0,-0,-0
URS,-0,-0,-0,0,-0,-0
VAN,0,-0,-0,0,-0,0
VIN,-0,-0,-0,0,-0,0
VNM,-0,-0,-0,0,-0,-0
WIF,-0,-0,-0,0,-0,-0
YAR,-0,-0,-0,0,-0,-0
YEM,0,-0,-0,0,-0,0
YMD,-0,-0,-0,0,-0,-0
YUG,-0,-0,-0,0,-0,-0
ZAM,0,-0,-0,0,-0,0
ZIM,0,0,-0,1,-0,0
BUL,-0,-1,-3,2,-2,-0
CMR,0,-1,-1,1,-1,-0
GHA,-0,-1,-1,1,-1,-0
SUI,-0,-2,-3,3,-3,-1
CPV,-1,-0,-1,-0,-0,-0
ISL,-1,-0,-2,-1,-1,-0
MNE,-1,-0,-1,0,-0,0
PAR,-1,-1,-2,-0,-1,-0
PHI,-1,-1,-2,-0,-1,-0
NOR,-2,-1,-5,2,-2,1
CHI,-2,-2,-4,-1,-3,-2
ROC,-33,-10,-42,-24,-14,-7
