Country,total,gold,TlLower,TlUpper,GLower,GUpper
CHN,116,43,104,128,39,48
USA,66,23,57,74,19,26
KOR,53,18,46,60,15,21
JPN,44,18,38,49,16,20
GBR,46,17,40,52,15,19
MEX,39,13,34,44,11,15
GER,24,8,17,31,6,11
RUS,29,7,24,34,5,9
INA,20,7,13,26,4,9
HUN,17,6,13,21,4,7
MAS,17,6,13,21,4,8
KEN,12,6,9,16,4,7
CUB,19,5,17,22,4,6
ESP,21,4,16,26,2,7
ARG,16,4,13,19,3,6
ITA,14,4,9,19,2,6
CAN,12,4,8,16,3,6
IND,12,4,9,14,3,4
DOM,11,4,10,13,4,5
POL,9,4,6,13,2,5
JAM,8,4,7,10,3,4
LTU,8,4,5,10,3,5
AUS,0,4,-7,8,1,7
ISR,11,3,9,13,2,4
TUR,11,3,9,12,2,4
DEN,8,3,4,13,1,5
EGY,8,3,6,9,2,3
SRB,8,3,6,10,2,4
UKR,12,2,9,14,1,3
CZE,11,2,7,15,1,4
GEO,9,2,7,10,2,3
AUT,8,2,6,9,2,3
CRO,7,2,4,10,1,3
IRI,7,2,5,9,1,3
MGL,7,2,6,8,2,3
ROU,7,2,4,11,0,3
SLO,7,2,6,8,2,3
SGP,6,2,4,7,1,3
TPE,6,2,3,8,1,3
EST,5,2,5,6,1,2
ETH,5,2,4,7,2,3
FIN,5,2,3,8,1,2
GRE,5,2,3,6,1,2
TUN,5,2,5,6,1,2
KAZ,7,1,5,10,-0,2
NGR,5,1,3,6,1,2
ALG,4,1,3,4,1,1
BEL,4,1,2,6,1,2
EUN,4,1,2,6,0,2
POR,4,1,2,5,0,2
THA,4,1,2,6,0,2
FIJ,3,1,-0,6,0,3
MAR,3,1,3,4,1,1
PRK,3,1,2,5,1,2
PUR,3,1,2,3,1,1
BAH,2,1,1,2,1,1
CYP,2,1,2,3,1,1
GUA,2,1,2,3,1,1
HKG,2,1,0,4,0,2
QAT,2,1,1,2,1,1
URU,2,1,1,2,0,1
BRN,1,1,1,2,0,1
CIV,1,1,0,2,0,1
EOR,1,1,1,2,0,1
TTO,1,1,1,2,0,1
VIE,1,1,1,2,0,1
AZE,6,0,4,9,-1,1
KGZ,3,0,2,4,0,1
VEN,3,0,2,3,0,1
ARM,2,0,0,3,-0,1
CHI,2,-0,1,4,-1,0
SWE,2,-0,-1,5,-1,1
BOT,1,0,0,1,0,0
ERI,1,0,0,1,0,0
GAB,1,0,0,1,0,0
JOR,1,0,0,1,-0,0
KOS,1,0,0,1,0,0
LCA,1,0,0,1,0,0
MDA,1,0,0,1,-0,0
MOZ,1,0,0,1,0,0
NAM,1,0,1,1,0,0
NIG,1,0,0,1,0,0
PAK,1,0,0,1,0,0
SCG,1,0,0,2,0,1
SEN,1,0,0,1,0,0
SEY,1,0,0,1,0,0
SVK,1,0,0,2,-0,1
TJK,1,0,1,1,0,0
UAE,1,0,0,1,0,0
UGA,1,0,1,1,0,0
AFG,0,-0,-0,0,-0,0
AHO,0,-0,-0,0,-0,0
AIN,0,-0,-0,0,-0,0
ALB,-0,-0,-0,0,-0,0
AND,0,-0,-0,0,-0,0
ANG,0,0,0,1,-0,0
ANT,0,0,-0,0,-0,0
ANZ,0,-0,-0,0,-0,0
ARU,0,0,0,1,-0,0
ASA,0,0,0,1,-0,0
BAN,-0,-0,-0,0,-0,-0
BAR,0,0,0,1,0,0
BDI,0,0,0,1,-0,0
BEN,0,0,-0,0,-0,0
BER,0,0,0,1,-0,0
BHU,0,-0,-0,0,-0,0
BIH,0,0,0,1,-0,0
BIZ,0,-0,-0,0,-0,0
BOH,0,-0,-0,0,-0,0
BOL,0,0,-0,0,-0,0
BRU,0,-0,-0,0,-0,0
BUR,0,0,0,1,-0,0
CAF,0,-0,-0,0,-0,0
CAM,0,-0,-0,0,-0,0
CAY,0,-0,-0,0,-0,0
CGO,0,0,0,1,-0,0
CHA,0,-0,-0,0,-0,0
COD,0,0,0,1,-0,0
COK,0,-0,-0,0,-0,0
COM,0,-0,-0,0,-0,0
CPV,-0,-0,-1,-0,-0,-0
CRT,0,-0,-0,0,-0,0
DJI,0,0,0,1,-0,0
