CountryCode,Gold,Total
AFG,0,1
AHO,0,0
AIN,0,0
ALB,0,0
ALG,1,1
AND,0,0
ANG,0,0
ANT,0,0
ANZ,0,0
ARG,1,4
ARM,0,2
ARU,0,0
ASA,0,0
AUS,8,35
AUT,0,0
AZE,2,9
BAH,1,1
BAN,0,0
BAR,0,0
BDI,0,0
BEL,0,3
BEN,0,0
BER,0,0
BHU,0,0
BIH,0,0
BIZ,0,0
BLR,2,10
BOH,0,0
BOL,0,0
BOT,0,1
BRA,3,17
BRN,1,1
BRU,0,0
BUL,0,3
BUR,0,0
CAF,0,0
CAM,0,0
CAN,2,18
CAY,0,0
CGO,0,0
CHA,0,0
CHI,0,0
CHN,39,92
CIV,0,0
CMR,0,1
COD,0,0
COK,0,0
COL,1,9
COM,0,0
CPV,0,0
CRC,0,0
CRO,3,6
CRT,0,0
CUB,5,15
CYP,0,1
CZE,4,11
DEN,2,9
DJI,0,0
DMA,0,0
DOM,1,2
ECU,0,0
EGY,0,4
EOR,0,0
ERI,0,0
ESA,0,0
ESP,4,20
EST,0,2
ETH,3,8
EUN,0,0
FIJ,0,0
FIN,0,3
FRA,11,35
FRG,0,0
FSM,0,0
GAB,0,1
GAM,0,0
GBR,29,65
GBS,0,0
GDR,0,0
GEO,1,6
GEQ,0,0
GER,11,44
GHA,0,0
GRE,0,2
GRN,1,1
GUA,0,1
GUI,0,0
GUM,0,0
GUY,0,0
HAI,0,0
HKG,0,1
HON,0,0
HUN,8,18
INA,0,3
IND,0,6
IOA,0,0
IRI,7,13
IRL,1,6
IRQ,0,0
ISL,0,0
ISR,0,0
ISV,0,0
ITA,8,28
IVB,0,0
JAM,4,13
JOR,0,0
JPN,7,38
KAZ,3,11
KEN,2,13
KGZ,0,0
KIR,0,0
KOR,13,31
KOS,0,0
KSA,0,1
KUW,0,1
LAO,0,0
LAT,1,2
LBA,0,0
LBN,0,0
LBR,0,0
LCA,0,0
LES,0,0
LIB,0,0
LIE,0,0
LTU,2,5
LUX,0,0
MAD,0,0
MAL,0,0
MAR,0,1
MAS,0,2
MAW,0,0
MDA,0,0
MDV,0,0
MEX,1,8
MGL,0,5
MHL,0,0
MKD,0,0
MLI,0,0
MLT,0,0
MNE,0,1
MON,0,0
MOZ,0,0
MRI,0,0
MTN,0,0
MYA,0,0
NAM,0,0
NBO,0,0
NCA,0,0
NED,6,20
NEP,0,0
NFL,0,0
NGR,0,0
NIG,0,0
NOR,2,4
NRU,0,0
NZL,6,13
OMA,0,0
PAK,0,0
PAN,0,0
PAR,0,0
PER,0,0
PHI,0,0
PLE,0,0
PLW,0,0
PNG,0,0
POL,3,11
POR,0,1
PRK,4,6
PUR,0,2
QAT,0,2
RHO,0,0
ROC,18,65
ROT,0,0
ROU,2,7
RSA,4,6
RUS,18,65
RWA,0,0
SAA,0,0
SAM,0,0
SCG,0,0
SEN,0,0
SEY,0,0
SGP,0,2
SKN,0,0
SLE,0,0
SLO,1,4
SMR,0,0
SOL,0,0
SOM,0,0
SRB,1,4
SRI,0,0
SSD,0,0
STP,0,0
SUD,0,0
SUI,2,4
SUR,0,0
SVK,0,4
SWE,1,8
SWZ,0,0
SYR,0,0
TAN,0,0
TCH,0,0
TGA,0,0
THA,0,4
TJK,0,1
TKM,0,0
TLS,0,0
TOG,0,0
TPE,0,0
TTO,1,4
TUN,2,3
TUR,1,3
TUV,0,0
UAE,0,0
UAR,0,0
UGA,1,1
UKR,5,19
UNK,0,0
URS,0,0
URU,0,0
USA,48,104
UZB,0,3
VAN,0,0
VEN,1,1
VIE,0,1
VIN,0,0
VNM,0,0
WIF,0,0
YAR,0,0
YEM,0,0
YMD,0,0
YUG,0,0
ZAM,0,0
ZIM,0,0
