Sports: Wrestling Years: 8 
goldratio:0.500000 silverratio:0.300000 bronzeratio:0.200000
Country: USA  Total: 3.07/k  Gold: 149.65/k  
Country: RUS  Total: 2.30/k  Gold: 176.04/k  
Country: JPN  Total: 2.20/k  Gold: 80.56/k  
Country: KOR  Total: 1.96/k  Gold: 65.45/k  
Country: BUL  Total: 1.32/k  Gold: 20.31/k  
Country: IRI  Total: 1.15/k  Gold: 34.90/k  
Country: GEO  Total: 1.13/k  Gold: 13.89/k  
Country: CUB  Total: 1.12/k  Gold: 47.40/k  
Country: KAZ  Total: 1.10/k  Gold: 6.25/k  
Country: TUR  Total: 1.03/k  Gold: 33.51/k  
Country: UKR  Total: 1.00/k  Gold: 20.14/k  
Country: SWE  Total: 0.99/k  Gold: 7.81/k  
Country: AZE  Total: 0.94/k  Gold: 28.65/k  
Country: EUN  Total: 0.89/k  Gold: 37.50/k  
Country: CAN  Total: 0.80/k  Gold: 14.76/k  
Country: POL  Total: 0.67/k  Gold: 25.00/k  
Country: FIN  Total: 0.65/k  Gold: 6.25/k  
Country: BLR  Total: 0.64/k  Gold: 0.00/k  
Country: HUN  Total: 0.60/k  Gold: 25.69/k  
Country: CHN  Total: 0.56/k  Gold: 13.89/k  
Country: URS  Total: 0.55/k  Gold: 50.00/k  
Country: GER  Total: 0.54/k  Gold: 6.25/k  
Country: ROU  Total: 0.49/k  Gold: 18.75/k  
Country: ARM  Total: 0.43/k  Gold: 6.25/k  
Country: GRE  Total: 0.43/k  Gold: 0.00/k  
Country: YUG  Total: 0.41/k  Gold: 12.50/k  
Country: FRA  Total: 0.40/k  Gold: 6.94/k  
Country: UZB  Total: 0.38/k  Gold: 27.78/k  
Country: FRG  Total: 0.36/k  Gold: 6.25/k  
Country: PRK  Total: 0.31/k  Gold: 18.75/k  
Country: IND  Total: 0.26/k  Gold: 0.00/k  
Country: KGZ  Total: 0.18/k  Gold: 0.00/k  
Country: COL  Total: 0.15/k  Gold: 0.00/k  
Country: LTU  Total: 0.15/k  Gold: 0.00/k  
Country: MEX  Total: 0.13/k  Gold: 0.00/k  
Country: SYR  Total: 0.13/k  Gold: 0.00/k  
Country: ITA  Total: 0.13/k  Gold: 19.44/k  
Country: EGY  Total: 0.12/k  Gold: 6.94/k  
Country: EST  Total: 0.11/k  Gold: 0.00/k  
Country: PUR  Total: 0.11/k  Gold: 0.00/k  
Country: TJK  Total: 0.11/k  Gold: 0.00/k  
Country: GBR  Total: 0.09/k  Gold: 0.00/k  
Country: SUI  Total: 0.09/k  Gold: 0.00/k  
Country: MKD  Total: 0.08/k  Gold: 0.00/k  
Country: ESP  Total: 0.07/k  Gold: 0.00/k  
Country: MGL  Total: 0.07/k  Gold: 0.00/k  
Country: SVK  Total: 0.07/k  Gold: 0.00/k  
Country: MDA  Total: 0.06/k  Gold: 0.00/k  
Country: GDR  Total: 0.05/k  Gold: 0.00/k  
Country: TCH  Total: 0.05/k  Gold: 0.00/k  
Country: NOR  Total: 0.02/k  Gold: 12.50/k  
Country: AFG  Total: 0.00/k  Gold: 0.00/k  
Country: AIN  Total: 0.00/k  Gold: 0.00/k  
Country: ALB  Total: 0.00/k  Gold: 0.00/k  
Country: ALG  Total: 0.00/k  Gold: 0.00/k  
Country: ARG  Total: 0.00/k  Gold: 0.00/k  
