Sport,Country,Ratio,Only2020_2024Count
3x3 Basketball,BEL,6.25,4
3x3 Basketball,CHN,12.5,8
3x3 Basketball,FRA,6.25,4
3x3 Basketball,ITA,6.25,4
3x3 Basketball,JPN,12.5,8
3x3 Basketball,LAT,6.25,4
3x3 Basketball,MGL,6.25,4
3x3 Basketball,NED,6.25,4
3x3 Basketball,POL,6.25,4
3x3 Basketball,ROC,12.5,8
3x3 Basketball,ROU,6.25,4
3x3 Basketball,SRB,6.25,4
3x3 Basketball,USA,6.25,4
Archery,AUS,1.70940170940171,4
Archery,AUT,0,0
Archery,AZE,0,0
Archery,BAN,0.854700854700855,2
Archery,BEL,0.427350427350427,1
Archery,BHU,0.427350427350427,1
Archery,BLR,1.28205128205128,3
Archery,BRA,0.854700854700855,2
Archery,CAN,0.854700854700855,2
Archery,CHA,0.427350427350427,1
Archery,CHI,0.427350427350427,1
Archery,CHN,2.56410256410256,6
Archery,CIV,0,0
Archery,COL,0.854700854700855,2
Archery,CUB,0,0
Archery,CZE,0.427350427350427,1
Archery,DEN,0.427350427350427,1
Archery,DOM,0,0
Archery,ECU,0.427350427350427,1
Archery,EGY,0.854700854700855,2
Archery,ESP,0.854700854700855,2
Archery,EST,0.427350427350427,1
Archery,FIJ,0,0
Archery,FIN,0.427350427350427,1
Archery,FRA,1.70940170940171,4
Archery,GBR,2.56410256410256,6
Archery,GEO,0,0
Archery,GER,1.70940170940171,4
Archery,GRE,0.427350427350427,1
Archery,HUN,0.427350427350427,1
Archery,INA,1.70940170940171,4
Archery,IND,1.70940170940171,4
Archery,IRI,0.427350427350427,1
Archery,ISR,0.427350427350427,1
Archery,ISV,0.427350427350427,1
Archery,ITA,1.70940170940171,4
Archery,JPN,2.56410256410256,6
Archery,KAZ,1.28205128205128,3
Archery,KEN,0,0
Archery,KOR,2.56410256410256,6
Archery,LBA,0,0
Archery,LUX,0.427350427350427,1
Archery,MAS,0.854700854700855,2
Archery,MAW,0.427350427350427,1
Archery,MDA,0.854700854700855,2
Archery,MEX,1.70940170940171,4
Archery,MGL,0.854700854700855,2
Archery,MYA,0,0
Archery,NED,1.70940170940171,4
Archery,NEP,0,0
Archery,NOR,0,0
Archery,POL,0.854700854700855,2
Archery,PRK,0,0
Archery,ROC,1.70940170940171,4
Archery,ROU,0.427350427350427,1
Archery,RUS,0,0
Archery,SLO,0.427350427350427,1
Archery,SVK,0.427350427350427,1
Archery,SWE,0.427350427350427,1
Archery,TGA,0,0
Archery,THA,0,0
Archery,TPE,2.56410256410256,6
Archery,TUN,0.854700854700855,2
Archery,TUR,0.854700854700855,2
Archery,UKR,1.70940170940171,4
Archery,USA,2.56410256410256,6
Archery,VEN,0,0
Archery,VIE,0.854700854700855,2
Archery,ZIM,0,0
Artistic Gymnastics,ALB,0.510204081632653,1
Artistic Gymnastics,ARG,0.510204081632653,1
Artistic Gymnastics,ARM,0.510204081632653,1
Artistic Gymnastics,AUS,1.53061224489796,3
Artistic Gymnastics,AUT,0.510204081632653,1
Artistic Gymnastics,AZE,1.02040816326531,2
Artistic Gymnastics,BEL,2.04081632653061,4
Artistic Gymnastics,BLR,0.510204081632653,1
Artistic Gymnastics,BRA,3.57142857142857,7
Artistic Gymnastics,BUL,0.510204081632653,1
Artistic Gymnastics,CAN,2.55102040816327,5
Artistic Gymnastics,CAY,0.510204081632653,1
Artistic Gymnastics,CHI,1.02040816326531,2
Artistic Gymnastics,CHN,6.12244897959184,12
Artistic Gymnastics,CRC,0.510204081632653,1
Artistic Gymnastics,CRO,1.02040816326531,2
Artistic Gymnastics,CUB,0.510204081632653,1
Artistic Gymnastics,CYP,0.510204081632653,1
Artistic Gymnastics,CZE,1.02040816326531,2
Artistic Gymnastics,EGY,1.53061224489796,3
Artistic Gymnastics,ESP,4.59183673469388,9
Artistic Gymnastics,FRA,3.57142857142857,7
Artistic Gymnastics,GBR,4.08163265306122,8
Artistic Gymnastics,GER,4.08163265306122,8
Artistic Gymnastics,GRE,0.510204081632653,1
Artistic Gymnastics,HKG,0.510204081632653,1
Artistic Gymnastics,HUN,0.510204081632653,1
Artistic Gymnastics,IND,0.510204081632653,1
Artistic Gymnastics,IRL,1.02040816326531,2
Artistic Gymnastics,ISR,1.53061224489796,3
Artistic Gymnastics,ITA,3.57142857142857,7
Artistic Gymnastics,JAM,0.510204081632653,1
Artistic Gymnastics,JPN,5.61224489795918,11
Artistic Gymnastics,KAZ,0.510204081632653,1
Artistic Gymnastics,KOR,3.57142857142857,7
Artistic Gymnastics,LTU,0.510204081632653,1
Artistic Gymnastics,MAS,1.02040816326531,2
Artistic Gymnastics,MEX,1.02040816326531,2
Artistic Gymnastics,NED,3.06122448979592,6
Artistic Gymnastics,NGR,0.510204081632653,1
Artistic Gymnastics,NOR,1.02040816326531,2
Artistic Gymnastics,NZL,0.510204081632653,1
Artistic Gymnastics,PER,0.510204081632653,1
Artistic Gymnastics,PHI,0.510204081632653,1
Artistic Gymnastics,POL,0.510204081632653,1
Artistic Gymnastics,POR,0.510204081632653,1
Artistic Gymnastics,ROC,6.12244897959184,12
