CountryCode,Gold,Total
AFG,0,0
AHO,0,0
AIN,0,0
ALB,0,0
ALG,0,2
AND,0,0
ANG,0,0
ANT,0,0
ANZ,0,0
ARG,3,4
ARM,1,4
ARU,0,0
ASA,0,0
AUS,8,29
AUT,0,1
AZE,1,18
BAH,1,2
BAN,0,0
BAR,0,0
BDI,0,1
BEL,2,6
BEN,0,0
BER,0,0
BHU,0,0
BIH,0,0
BIZ,0,0
BLR,1,9
BOH,0,0
BOL,0,0
BOT,0,0
BRA,7,19
BRN,1,2
BRU,0,0
BUL,0,3
BUR,0,0
CAF,0,0
CAM,0,0
CAN,4,22
CAY,0,0
CGO,0,0
CHA,0,0
CHI,0,0
CHN,26,70
CIV,0,0
CMR,0,0
COD,0,0
COK,0,0
COL,3,8
COM,0,0
CPV,0,0
CRC,0,0
CRO,5,10
CRT,0,0
CUB,5,11
CYP,0,0
CZE,1,10
DEN,2,15
DJI,0,0
DMA,0,0
DOM,0,1
ECU,0,0
EGY,0,3
EOR,0,0
ERI,0,0
ESA,0,0
ESP,7,17
EST,0,1
ETH,1,8
EUN,0,0
FIJ,1,1
FIN,0,1
FRA,10,42
FRG,0,0
FSM,0,0
GAB,0,0
GAM,0,0
GBR,27,67
GBS,0,0
GDR,0,0
GEO,2,7
GEQ,0,0
GER,17,42
GHA,0,0
GRE,3,6
GRN,0,1
GUA,0,0
GUI,0,0
GUM,0,0
GUY,0,0
HAI,0,0
HKG,0,0
HON,0,0
HUN,8,15
INA,1,3
IND,0,2
IOA,0,0
IRI,3,8
IRL,0,2
IRQ,0,0
ISL,0,0
ISR,0,2
ISV,0,0
ITA,8,28
IVB,0,0
JAM,6,11
JOR,1,1
JPN,12,41
KAZ,2,17
KEN,6,13
KGZ,0,0
KIR,0,0
KOR,9,21
KOS,1,1
KSA,0,0
KUW,0,0
LAO,0,0
LAT,0,0
LBA,0,0
LBN,0,0
LBR,0,0
LCA,0,0
LES,0,0
LIB,0,0
LIE,0,0
LTU,0,4
LUX,0,0
MAD,0,0
MAL,0,0
MAR,0,1
MAS,0,5
MAW,0,0
MDA,0,0
MDV,0,0
MEX,0,5
MGL,0,2
MHL,0,0
MKD,0,0
MLI,0,0
MLT,0,0
MNE,0,0
MON,0,0
MOZ,0,0
MRI,0,0
MTN,0,0
MYA,0,0
NAM,0,0
NBO,0,0
NCA,0,0
NED,8,19
NEP,0,0
NFL,0,0
NGR,0,1
NIG,0,1
NOR,0,4
NRU,0,0
NZL,4,18
OMA,0,0
PAK,0,0
PAN,0,0
PAR,0,0
PER,0,0
PHI,0,1
PLE,0,0
PLW,0,0
PNG,0,0
POL,2,11
POR,0,1
PRK,2,7
PUR,1,1
QAT,0,1
RHO,0,0
ROC,19,56
ROT,0,0
ROU,1,4
RSA,2,10
RUS,19,56
RWA,0,0
SAA,0,0
SAM,0,0
SCG,0,0
SEN,0,0
SEY,0,0
SGP,1,1
SKN,0,0
SLE,0,0
SLO,1,4
SMR,0,0
SOL,0,0
SOM,0,0
SRB,2,8
SRI,0,0
SSD,0,0
STP,0,0
SUD,0,0
SUI,3,7
SUR,0,0
SVK,2,4
SWE,2,11
SWZ,0,0
SYR,0,0
TAN,0,0
TCH,0,0
TGA,0,0
THA,2,6
TJK,1,1
TKM,0,0
TLS,0,0
TOG,0,0
TPE,0,0
TTO,0,1
TUN,0,3
TUR,1,8
TUV,0,0
UAE,0,1
UAR,0,0
UGA,0,0
UKR,2,11
UNK,0,0
URS,0,0
URU,0,0
USA,46,121
UZB,4,13
VAN,0,0
VEN,0,3
VIE,1,2
VIN,0,0
VNM,0,0
WIF,0,0
YAR,0,0
YEM,0,0
YMD,0,0
YUG,0,0
ZAM,0,0
ZIM,0,0
