CountryCode,Gold,Total
AFG,0,0
AHO,0,0
AIN,0,0
ALB,0,0
ALG,1,5
AND,0,0
ANG,0,0
ANT,0,0
ANZ,0,0
ARG,0,4
ARM,0,1
ARU,0,0
ASA,0,0
AUS,16,58
AUT,2,3
AZE,2,3
BAH,2,3
BAN,0,0
BAR,0,1
BDI,0,0
BEL,0,5
BEN,0,0
BER,0,0
BHU,0,0
BIH,0,0
BIZ,0,0
BLR,3,17
BOH,0,0
BOL,0,0
BOT,0,0
BRA,0,12
BRN,0,0
BRU,0,0
BUL,5,13
BUR,0,0
CAF,0,0
CAM,0,0
CAN,3,14
CAY,0,0
CGO,0,0
CHA,0,0
CHI,0,1
CHN,28,58
CIV,0,0
CMR,1,1
COD,0,0
COK,0,0
COL,1,1
COM,0,0
CPV,0,0
CRC,0,2
CRO,1,2
CRT,0,0
CUB,11,29
CYP,0,0
CZE,2,8
DEN,2,6
DJI,0,0
DMA,0,0
DOM,0,0
ECU,0,0
EGY,0,0
EOR,0,0
ERI,0,0
ESA,0,0
ESP,3,11
EST,1,3
ETH,4,8
EUN,0,0
FIJ,0,0
FIN,2,4
FRA,13,38
FRG,0,0
FSM,0,0
GAB,0,0
GAM,0,0
GBR,11,28
GBS,0,0
GDR,0,0
GEO,0,6
GEQ,0,0
GER,13,56
GHA,0,0
GRE,4,13
GRN,0,0
GUA,0,0
GUI,0,0
GUM,0,0
GUY,0,0
HAI,0,0
HKG,0,0
HON,0,0
HUN,8,17
INA,1,6
IND,0,1
IOA,0,0
IRI,3,4
IRL,0,1
IRQ,0,0
ISL,0,1
ISR,0,1
ISV,0,0
ITA,13,34
IVB,0,0
JAM,0,9
JOR,0,0
JPN,5,18
KAZ,3,7
KEN,2,7
KGZ,0,1
KIR,0,0
KOR,8,28
KOS,0,0
KSA,0,2
KUW,0,1
LAO,0,0
LAT,1,3
LBA,0,0
LBN,0,0
LBR,0,0
LCA,0,0
LES,0,0
LIB,0,0
LIE,0,0
LTU,2,5
LUX,0,0
MAD,0,0
MAL,0,0
MAR,0,5
MAS,0,0
MAW,0,0
MDA,0,2
MDV,0,0
MEX,1,6
MGL,0,0
MHL,0,0
MKD,0,1
MLI,0,0
MLT,0,0
MNE,0,0
MON,0,0
MOZ,1,1
MRI,0,0
MTN,0,0
MYA,0,0
NAM,0,0
NBO,0,0
NCA,0,0
NED,12,25
NEP,0,0
NFL,0,0
NGR,1,3
NIG,0,0
NOR,4,10
NRU,0,0
NZL,1,4
OMA,0,0
PAK,0,0
PAN,0,0
PAR,0,0
PER,0,0
PHI,0,0
PLE,0,0
PLW,0,0
PNG,0,0
POL,6,14
POR,0,2
PRK,0,4
PUR,0,0
QAT,0,1
RHO,0,0
ROC,32,89
ROT,0,0
ROU,11,26
RSA,0,5
RUS,32,89
RWA,0,0
SAA,0,0
SAM,0,0
SCG,0,0
SEN,0,0
SEY,0,0
SGP,0,0
SKN,0,0
SLE,0,0
SLO,2,2
SMR,0,0
SOL,0,0
SOM,0,0
SRB,0,0
SRI,0,1
SSD,0,0
STP,0,0
SUD,0,0
SUI,1,9
SUR,0,0
SVK,1,5
SWE,4,12
SWZ,0,0
SYR,0,0
TAN,0,0
TCH,0,0
TGA,0,0
THA,1,3
TJK,0,0
TKM,0,0
TLS,0,0
TOG,0,0
TPE,0,0
TTO,0,2
TUN,0,0
TUR,3,5
TUV,0,0
UAE,0,0
UAR,0,0
UGA,0,0
UKR,3,23
UNK,0,0
URS,0,0
URU,0,1
USA,37,93
UZB,1,4
VAN,0,0
VEN,0,0
VIE,0,1
VIN,0,0
VNM,0,0
WIF,0,0
YAR,0,0
YEM,0,0
YMD,0,0
YUG,0,0
ZAM,0,0
ZIM,0,0
