Country,total,gold,TlLower,TlUpper,GLower,GUpper
CHN,65,31,55,75,26,35
USA,62,25,51,72,20,29
GBR,48,19,43,54,16,21
AUS,45,19,39,51,16,21
FRA,33,19,20,46,14,25
GER,20,9,13,28,5,12
CAN,22,8,18,26,7,10
JPN,13,8,7,18,5,10
HUN,25,7,20,30,5,9
POL,22,6,19,25,5,7
NZL,20,6,17,22,5,7
CRO,15,6,13,18,4,7
DEN,15,6,11,19,5,8
CUB,16,5,13,18,4,7
NED,15,5,10,19,3,7
MGL,11,5,10,13,4,5
KEN,10,5,8,13,4,6
RUS,14,4,9,18,2,6
GRE,13,4,11,15,4,5
INA,12,4,6,18,1,6
KOR,11,4,6,17,1,6
SRB,10,4,8,13,3,5
SLO,8,4,7,9,3,4
ITA,13,3,7,19,1,6
GEO,10,3,8,12,2,4
IND,10,3,8,13,2,4
POR,9,3,6,11,2,4
AUT,8,3,6,10,3,4
MAS,8,3,3,12,1,5
SWE,7,3,5,10,2,4
FIJ,6,3,3,8,2,4
CZE,5,3,1,9,1,4
FIN,7,2,5,9,1,3
SGP,6,2,4,7,1,3
PRK,5,2,3,7,2,3
JAM,4,2,2,6,1,3
PER,4,2,3,5,1,2
SVK,4,2,2,5,1,2
IOA,3,2,2,4,1,2
ROU,3,2,-1,6,-0,3
RSA,2,2,0,4,1,3
KAZ,9,1,6,11,-0,2
EST,5,1,4,6,1,2
MEX,5,1,1,9,-1,2
HKG,4,1,1,6,0,2
LTU,4,1,2,7,-0,2
SCG,4,1,3,5,1,2
TUN,4,1,3,5,0,1
ALG,3,1,3,4,0,1
CYP,3,1,3,4,1,1
ETH,3,1,2,4,1,2
GUA,3,1,2,3,1,1
LAT,3,1,1,4,0,1
QAT,3,1,2,4,1,1
KUW,2,1,1,2,1,1
MAR,2,1,1,3,0,1
SMR,2,1,1,2,1,1
THA,2,1,0,4,0,2
URU,2,1,2,3,0,1
DOM,1,1,-0,2,0,1
ECU,1,1,1,2,0,1
EOR,1,1,1,1,0,1
KOS,1,1,1,1,0,1
PUR,1,1,0,2,0,1
TTO,1,1,1,2,0,1
UAE,1,1,1,2,0,1
BLR,4,-0,1,8,-2,2
COL,4,0,2,6,-0,1
IRI,4,0,2,6,-1,1
NGR,3,-0,0,5,-1,1
VEN,3,0,1,4,-0,1
ARM,2,-0,1,3,-1,0
KGZ,2,-0,1,3,-1,0
MDA,2,0,1,2,0,1
BAH,1,0,0,1,0,1
BRN,1,0,0,1,0,1
CMR,1,-0,0,2,-0,0
GHA,1,-0,0,2,-0,0
HON,1,0,-0,1,-0,0
MNE,1,0,-0,2,-0,1
MOZ,1,0,0,1,-0,0
PAK,1,0,0,1,0,1
SEY,1,0,0,1,0,0
TCH,1,0,0,1,0,0
TJK,1,0,1,2,0,1
TKM,1,0,-0,1,0,1
UGA,1,0,0,1,-0,0
ZIM,1,0,0,1,0,1
AFG,-0,-0,-0,0,-0,-0
AHO,-0,-0,-1,0,-0,-0
AIN,-0,-0,-1,0,-0,-0
ALB,-0,-0,-0,0,-0,0
AND,-0,-0,-1,0,-0,-0
ANG,0,0,0,1,0,0
ANT,-0,-0,-0,0,-0,0
ANZ,-0,-0,-1,0,-0,-0
ARU,0,0,0,1,-0,0
ASA,0,-0,-0,0,-0,0
BAN,0,-0,-0,1,-0,0
BAR,0,-0,-0,0,-0,0
BDI,0,0,-0,0,-0,0
BEN,0,0,-0,0,-0,0
BER,0,-0,-0,0,-0,0
BHU,-0,-0,-0,0,-0,-0
BIH,0,0,0,1,0,0
BIZ,-0,-0,-0,0,-0,-0
BOH,-0,-0,-1,0,-0,-0
BOL,0,0,-0,0,-0,0
BOT,0,0,-0,0,-0,0
BRU,-0,-0,-1,0,-0,-0
BUR,0,0,-0,0,-0,0
CAF,-0,-0,-0,0,-0,0
CAM,-0,-0,-0,0,-0,0
CAY,-0,-0,-0,0,-0,0
CGO,-0,-0,-1,0,-0,0
CHA,-0,-0,-1,0,-0,-0
CIV,0,0,-1,1,0,1
COD,0,-0,-0,0,-0,0
COK,0,-0,-0,0,-0,0
COM,-0,-0,-0,0,-0,-0
CRC,0,0,-0,0,-0,0
CRT,-0,-0,-1,0,-0,-0
DJI,0,-0,-0,0,-0,0
DMA,-0,-0,-1,0,-0,-0
ERI,0,-0,-0,0,-0,0
ESA,0,0,-0,1,-0,0
EUN,0,-0,-2,2,-1,0
FRG,-0,-0,-1,0,-0,-0
FSM,-0,-0,-0,0,-0,0
GAB,0,0,0,1,0,0
GAM,-0,-0,-0,0,-0,-0
GBS,0,-0,-0,0,-0,0
GDR,-0,-0,-1,0,-0,-0
GEQ,-0,-0,-1,0,-0,-0
GRN,0,0,-0,0,-0,0
GUI,0,0,-0,0,-0,0
GUM,-0,-0,-0,0,-0,0
GUY,-0,-0,-0,0,-0,0
HAI,0,0,-0,0,-0,0
IRQ,-0,-0,-1,0,-0,-0
ISV,-0,-0,-0,0,-0,0
IVB,-0,-0,-0,0,-0,-0
JOR,0,0,-0,1,-0,0
KIR,-0,-0,-0,0,-0,-0
KSA,0,0,0,1,-0,0
LAO,-0,-0,-0,0,-0,0
LBA,0,0,-0,0,-0,0
LBN,-0,-0,-0,0,-0,-0
LBR,-0,-0,-0,0,-0,-0
LCA,0,0,0,1,-0,0
LES,-0,-0,-0,0,-0,-0
LIB,-0,-0,-0,0,-0,-0
LIE,-0,-0,-0,0,-0,-0
