Country,total,gold,TlLower,TlUpper,GLower,GUpper
CHN,77,29,68,86,26,33
GBR,44,15,38,50,13,17
GER,41,13,36,47,11,15
FRA,40,35,16,65,26,45
RUS,40,11,36,45,10,13
USA,37,14,25,49,10,19
KOR,32,12,26,38,10,14
NED,26,8,22,30,7,10
HUN,19,7,14,23,5,8
POL,17,6,14,20,4,7
MAS,16,6,13,19,5,8
CUB,16,4,13,18,3,5
INA,14,6,10,19,4,8
CAN,14,4,8,19,2,6
MEX,13,4,7,19,2,6
KEN,11,5,6,16,3,6
ARG,11,3,7,14,2,4
BLR,11,2,7,14,0,3
ITA,11,1,4,18,-1,4
DEN,10,4,6,14,2,5
SUI,10,3,7,12,2,4
TUR,10,3,9,12,2,4
HKG,9,3,8,11,3,4
ROU,9,3,6,13,1,4
TPE,9,3,6,12,1,4
AUT,8,2,6,10,2,3
BEL,8,2,5,10,1,3
COL,8,2,6,9,1,3
CZE,8,2,4,12,0,4
EUN,8,2,6,9,2,3
GEO,8,2,6,10,2,3
AZE,8,1,5,10,0,2
CRO,7,2,4,11,1,3
IND,7,2,5,9,2,3
IRI,7,2,5,10,1,3
RSA,7,2,5,10,1,3
TUN,7,2,6,7,2,2
FIJ,6,3,2,10,1,5
MGL,6,2,5,8,1,2
SGP,6,2,5,8,2,3
SRB,6,2,4,9,1,3
UZB,6,0,4,8,-0,1
EST,5,2,4,6,1,2
JAM,5,2,3,7,1,2
VEN,5,2,4,6,1,2
KAZ,5,1,3,8,-0,2
SLO,5,1,4,6,1,2
ISR,5,0,2,7,-1,1
PRK,4,2,3,6,1,2
ALG,4,1,3,4,1,1
CHI,4,1,2,5,0,1
FIN,4,1,1,6,-0,2
PUR,4,1,3,4,1,1
ARM,3,1,2,4,0,1
ETH,3,1,2,5,1,2
KGZ,3,1,2,4,0,1
MAR,3,1,2,4,0,1
THA,3,1,1,6,0,2
IRL,3,0,1,5,-0,1
BAH,2,1,1,2,0,1
ECU,2,1,1,3,0,1
LAT,2,1,1,4,1,2
NGR,2,1,1,4,0,2
TTO,2,1,1,2,0,1
URU,2,1,1,2,0,1
GUA,1,1,1,1,0,1
QAT,1,1,0,1,0,1
VIE,1,1,1,2,0,1
ALB,1,0,0,1,0,0
ANG,1,0,1,1,0,0
ANT,1,0,0,1,0,0
ARU,1,0,1,1,0,0
ASA,1,0,0,1,0,0
BAN,1,0,0,1,0,0
BAR,1,0,1,1,0,0
BDI,1,0,1,1,0,0
BEN,1,0,1,1,0,0
BER,1,0,0,1,0,0
BIH,1,0,1,1,0,0
BOL,1,0,0,1,0,0
BOT,1,0,1,1,0,0
BRN,1,0,1,2,0,1
BUR,1,0,1,1,0,0
CAF,1,0,0,1,0,0
CAM,1,0,0,1,0,0
CAY,1,0,0,1,0,0
CGO,1,0,1,1,0,0
CIV,1,0,-0,2,-0,1
COD,1,0,0,1,0,0
COK,1,0,1,1,0,0
COM,1,0,0,1,0,0
CYP,1,0,1,2,0,1
DJI,1,0,0,1,0,0
EOR,1,0,1,2,0,1
ERI,1,0,0,1,0,0
ESA,1,0,1,1,0,0
FSM,1,0,0,1,0,0
GAB,1,0,1,1,0,0
GAM,1,0,0,1,0,0
GBS,1,0,0,1,0,0
GRN,1,0,1,1,0,0
GUI,1,0,1,1,0,0
GUM,1,0,0,1,0,0
GUY,1,0,0,1,0,0
HAI,1,0,1,1,0,0
ISV,1,0,0,1,0,0
JOR,1,0,0,1,0,0
KOS,1,0,1,1,0,0
LAO,1,0,0,1,0,0
LBA,1,0,0,1,0,0
LCA,1,0,1,1,0,0
LUX,1,0,1,2,0,1
MAD,1,0,1,1,0,0
MAW,1,0,0,1,0,0
MDA,1,0,1,2,0,1
MDV,1,0,0,1,0,0
MHL,1,0,0,1,0,0
MKD,1,0,1,1,0,0
MLI,1,0,0,1,0,0
MLT,1,0,0,1,0,0
MON,1,0,0,1,0,0
MOZ,1,0,1,1,0,0
MRI,1,0,1,1,0,0
NAM,1,0,1,1,0,0
NCA,1,0,0,1,0,0
NEP,1,0,0,1,0,0
NIG,1,0,0,1,0,0
PAN,1,0,1,1,0,0
PLE,1,0,1,1,0,0
PLW,1,0,0,1,0,0
PNG,1,0,1,1,0,0
ROT,1,0,0,1,0,0
RWA,1,0,0,1,0,0
SAM,1,0,0,1,0,0
SCG,1,0,-0,1,0,1
SEN,1,0,1,1,0,0
SEY,1,0,1,1,0,0
SLE,1,0,0,1,0,0
SRI,1,0,0,1,0,0
