Country,total,gold,TlLower,TlUpper,GLower,GUpper
CHN,75,28,64,86,24,32
FRA,35,24,14,55,16,31
USA,58,21,48,67,17,25
AUS,23,12,14,31,9,15
KOR,37,10,31,44,8,13
NED,27,10,23,32,8,12
GBR,23,9,15,31,6,12
JPN,17,8,10,24,6,11
HUN,20,7,15,25,5,9
KEN,11,6,8,15,4,7
RUS,21,5,16,26,3,7
CUB,16,5,13,19,3,6
SRB,12,5,9,14,4,6
INA,17,4,10,23,2,7
DEN,15,4,11,20,3,6
GRE,11,4,9,13,3,5
MGL,11,4,9,13,3,4
JAM,8,4,6,10,3,5
MAS,13,3,8,17,1,5
GEO,11,3,8,13,2,3
CRO,10,3,7,13,1,4
SWE,9,3,6,12,2,4
LTU,8,3,6,11,2,4
POR,8,3,6,11,2,4
BEL,6,3,4,9,2,3
PRK,6,3,4,8,2,3
ETH,5,3,4,7,2,3
TUR,11,2,9,13,2,3
IND,8,2,5,11,1,3
EGY,7,2,4,9,1,3
MEX,7,2,4,11,0,3
FIN,6,2,4,8,1,3
ITA,6,2,-1,14,-1,5
NGR,6,2,3,8,1,2
SCG,4,2,3,5,1,2
SGP,4,2,2,6,1,2
BRA,3,2,-3,9,-0,4
ROU,7,1,3,10,-0,2
EST,5,1,4,6,1,1
PER,4,1,3,4,1,2
TPE,4,1,1,7,-0,2
TUN,4,1,3,5,0,1
CYP,3,1,2,3,1,1
FIJ,3,1,0,5,-0,2
GUA,3,1,2,4,1,1
HKG,3,1,0,5,0,2
IRL,3,1,1,6,0,2
QAT,3,1,3,4,1,2
RSA,3,1,0,6,0,2
THA,3,1,1,5,0,2
BAH,2,1,1,2,1,1
BRN,2,1,1,2,1,1
DOM,2,1,1,3,1,1
ECU,2,1,1,3,1,1
EOR,2,1,1,2,1,1
IOA,2,1,2,3,1,1
LAT,2,1,1,4,0,1
PUR,2,1,1,2,0,1
TTO,2,1,2,3,1,1
URU,2,1,1,2,0,1
VIE,2,1,2,3,1,1
KOS,1,1,1,2,0,1
KUW,1,1,1,2,0,1
TKM,1,1,0,2,0,1
UAE,1,1,1,2,0,1
UKR,9,0,5,12,-1,2
BLR,7,-0,3,10,-1,1
IRI,5,0,3,7,-1,1
ALG,3,0,2,4,0,1
COL,3,0,1,5,-1,1
EUN,3,0,1,4,-0,1
NZL,3,0,-1,7,-1,2
ARM,2,0,1,3,-1,1
KGZ,2,-0,1,3,-1,0
MDA,2,0,1,2,0,1
VEN,2,0,1,4,-0,1
CIV,1,0,0,2,0,1
GAB,1,0,0,1,0,0
ISR,1,0,-1,4,-1,1
KSA,1,0,0,1,0,0
MOZ,1,0,0,1,-0,0
PAK,1,0,0,1,0,1
SEY,1,0,0,1,0,0
SMR,1,0,1,2,0,1
TCH,1,0,0,1,-0,0
TJK,1,0,1,1,0,0
UGA,1,0,0,1,0,0
AFG,-0,-0,-0,0,-0,-0
AHO,-0,-0,-1,0,-0,-0
AIN,-0,-0,-1,0,-0,-0
ALB,0,-0,-0,0,-0,0
AND,-0,-0,-0,0,-0,-0
ANG,0,0,-0,1,-0,0
ANT,-0,-0,-0,0,-0,0
ANZ,-0,-0,-1,0,-0,-0
ARU,0,-0,-0,1,-0,0
ASA,0,-0,-0,1,-0,0
BAN,-0,-0,-1,0,-0,-0
BAR,0,0,-0,1,-0,0
BDI,0,0,-0,0,-0,0
BEN,0,0,-0,1,-0,0
BER,0,-0,-0,0,-0,0
BHU,-0,-0,-1,0,-0,-0
BIH,0,-0,-0,1,-0,0
BIZ,-0,-0,-0,0,-0,-0
BOH,-0,-0,-1,0,-0,-0
BOL,0,0,-0,0,-0,0
BOT,0,0,0,1,0,0
BRU,-0,-0,-0,0,-0,-0
BUR,0,0,-0,1,-0,0
CAF,-0,-0,-0,0,-0,-0
CAM,-0,-0,-0,0,-0,0
CAY,-0,-0,-0,0,-0,0
CGO,-0,-0,-1,0,-0,0
CHA,-0,-0,-0,0,-0,-0
CMR,0,-0,-1,1,-1,-0
COD,0,-0,-0,0,-0,0
COK,-0,-0,-0,0,-0,0
COM,-0,-0,-0,0,-0,-0
CRC,0,-0,-0,0,-0,0
CRT,-0,-0,-1,0,-0,-0
DJI,0,0,-0,1,-0,0
DMA,-0,-0,-0,0,-0,-0
ERI,0,0,0,1,0,0
ESA,0,-0,-0,0,-0,0
FRG,-0,-0,-1,0,-0,-0
FSM,-0,-0,-0,0,-0,0
GAM,-0,-0,-0,0,-0,-0
GBS,0,-0,-0,1,-0,0
GDR,-0,-0,-1,0,-0,-0
GEQ,-0,-0,-0,0,-0,-0
GHA,-0,-0,-1,1,-1,-0
GRN,0,0,-0,1,-0,0
GUI,0,0,-0,0,-0,0
GUM,-0,-0,-0,0,-0,0
GUY,-0,-0,-0,0,-0,0
HAI,0,0,-0,1,-0,0
HON,0,-0,-0,1,-0,0
IRQ,-0,-0,-0,0,-0,-0
ISV,-0,-0,-0,0,-0,0
IVB,-0,-0,-0,0,-0,-0
JOR,-0,-0,-1,0,-0,0
KIR,-0,-0,-0,0,-0,0
LAO,-0,-0,-0,0,-0,-0
LBA,0,-0,-0,0,-0,0
LBN,-0,-0,-1,0,-0,-0
LBR,-0,-0,-0,0,-0,-0
LCA,0,0,0,1,-0,0
LES,-0,-0,-0,0,-0,-0
LIB,-0,-0,-0,0,-0,-0
LIE,-0,-0,-1,0,-0,-0
LUX,-0,-0,-1,0,-0,0
MAD,0,0,-0,1,-0,0
MAL,-0,-0,-1,0,-0,-0
MAW,-0,-0,-0,0,-0,0
MDV,-0,-0,-0,0,-0,0
MHL,-0,-0,-0,0,-0,-0
MKD,0,0,0,1,-0,0
MLI,0,-0,-0,0,-0,0
MLT,0,0,-0,0,-0,0
MNE,-0,0,-1,1,-0,0
MON,0,-0,-0,0,-0,0
MRI,0,-0,-0,1,-0,0
MTN,-0,-0,-0,0,-0,-0
MYA,-0,-0,-0,0,-0,0
NAM,0,0,0,1,-0,0
NBO,-0,-0,-1,0,-0,-0
NCA,0,0,-0,0,-0,0
NEP,0,0,-0,0,-0,0
NFL,-0,-0,-1,0,-0,-0
NIG,0,0,0,1,0,0
NRU,-0,-0,-0,0,-0,-0
OMA,0,0,-0,1,-0,0
PAN,0,0,-0,1,-0,0
PLE,0,0,-0,0,-0,0
PLW,-0,-0,-0,0,-0,0
PNG,0,0,-0,1,-0,0
RHO,-0,-0,-1,0,-0,-0
ROT,0,0,-0,1,-0,0
RWA,-0,-0,-1,0,-0,-0
SAA,-0,-0,-1,0,-0,-0
SAM,0,-0,-0,0,-0,0
SEN,0,0,0,1,-0,0
SKN,-0,-0,-0,0,-0,0
SLE,-0,-0,-0,0,-0,0
SOL,-0,-0,-0,0,-0,0
SOM,-0,-0,-0,0,-0,-0
SRI,0,0,-0,1,-0,0
SSD,-0,-0,-0,0,-0,-0
STP,-0,-0,-0,0,-0,-0
SUD,0,0,0,1,-0,0
SUR,-0,-0,-0,0,-0,0
SWZ,-0,-0,-0,0,-0,-0
SYR,-0,-0,-1,0,-0,0
TAN,-0,-0,-0,0,-0,0
TGA,-0,-0,-1,0,-0,-0
TLS,-0,-0,-0,0,-0,-0
TOG,-0,-0,-0,0,-0,0
TUV,-0,-0,-0,0,-0,-0
UAR,-0,-0,-1,0,-0,-0
UNK,-0,-0,-1,0,-0,-0
URS,-0,-0,-1,0,-0,-0
VAN,0,-0,-0,0,-0,0
VIN,-0,-0,-0,0,-0,0
VNM,-0,-0,-1,0,-0,-0
WIF,-0,-0,-1,0,-0,-0
YAR,-0,-0,-1,0,-0,-0
YEM,0,-0,-0,0,-0,0
YMD,-0,-0,-1,0,-0,-0
YUG,-0,-0,-1,0,-0,-0
ZAM,0,-0,-0,0,-0,0
ZIM,0,0,-0,1,-0,0
CPV,-1,-0,-1,-1,-1,-0
ISL,-1,-0,-2,-1,-1,-0
GER,-2,0,-12,8,-4,4
AZE,3,-1,0,5,-2,-1
ARG,0,-1,-4,5,-3,0
UZB,-0,-1,-2,2,-2,-1
PAR,-1,-1,-2,-0,-1,-0
PHI,-1,-1,-3,-0,-1,-0
NOR,-2,-1,-5,2,-2,1
CAN,-8,-1,-15,-1,-4,1
BUL,-2,-2,-4,1,-3,-1
CHI,-2,-2,-4,-0,-3,-1
MAR,-10,-2,-13,-8,-3,-1
KAZ,-6,-4,-10,-2,-5,-2
AUT,-17,-4,-23,-12,-6,-2
ROC,-13,-6,-17,-8,-7,-4
POL,-20,-6,-29,-12,-9,-3
ESP,-21,-7,-29,-12,-10,-3
SLO,-30,-7,-38,-22,-10,-4
SVK,-35,-9,-43,-27,-12,-6
CZE,-35,-11,-44,-27,-14,-8
SUI,-37,-11,-45,-29,-14,-8
