Country,total,gold,TlLower,TlUpper,GLower,GUpper
CHN,108,42,99,117,39,45
USA,68,24,59,76,20,27
FRA,42,24,30,55,19,28
JPN,42,15,36,48,12,17
RUS,40,11,35,44,10,13
GBR,39,15,33,46,13,17
KOR,39,14,33,45,12,16
AUS,33,14,28,38,12,15
POL,20,7,17,23,6,8
BRA,20,6,16,24,4,8
UKR,20,5,17,22,4,6
CAN,19,7,16,23,6,8
MEX,19,5,13,24,3,7
CUB,17,5,14,20,4,6
MAS,16,6,12,19,5,7
INA,15,7,10,20,5,8
NZL,13,4,9,17,3,5
CZE,13,3,9,16,2,5
KEN,12,5,8,17,3,7
ARG,12,4,9,16,2,5
DEN,12,4,8,16,3,6
AUT,11,3,8,13,2,4
TUR,11,3,9,13,3,4
IND,10,4,8,12,3,4
ROU,10,3,7,14,2,4
BEL,9,3,7,11,2,4
CRO,9,3,6,12,1,4
HKG,9,3,7,11,3,4
EGY,8,3,6,10,2,4
GEO,8,2,6,10,2,3
SUI,8,2,4,11,1,4
BLR,8,1,5,12,-1,2
ESP,8,1,3,13,-1,3
JAM,7,3,5,9,2,3
EUN,7,2,5,9,2,3
GRE,7,2,5,9,2,3
IRI,7,2,5,10,1,3
SGP,7,2,5,8,2,3
SLO,7,2,6,9,2,3
SRB,7,2,4,9,1,3
TPE,7,2,4,10,1,3
AZE,7,1,4,9,-0,2
KAZ,7,1,4,9,0,2
NED,6,4,-1,12,1,6
ITA,6,2,-1,13,-1,4
MGL,6,2,5,8,1,2
TUN,6,2,5,7,2,2
EST,5,2,4,6,1,2
FIJ,5,2,1,8,1,4
ISR,5,0,3,8,-1,1
ETH,4,2,3,6,1,2
LTU,4,2,1,7,1,3
PRK,4,2,2,6,1,3
ALG,4,1,3,4,1,1
CHI,4,1,2,5,0,1
FIN,4,1,1,6,-0,2
THA,4,1,1,6,0,2
VEN,4,1,3,5,1,2
UZB,4,-0,2,6,-1,0
ARM,3,1,2,4,0,1
COL,3,1,-0,6,-1,2
KGZ,3,1,2,4,0,1
MAR,3,1,2,4,0,1
NGR,3,1,1,5,1,2
PUR,3,1,3,4,1,1
DOM,3,0,1,5,-0,1
IRL,3,0,1,5,-0,1
ROC,3,0,-1,7,-1,2
HUN,2,2,-2,7,0,4
BAH,2,1,1,2,0,1
CYP,2,1,1,2,0,1
GUA,2,1,1,2,1,1
LAT,2,1,-0,4,1,2
PER,2,1,1,2,1,1
TTO,2,1,2,3,1,1
URU,2,1,1,2,0,1
VIE,2,1,1,2,1,1
BRN,1,1,1,2,0,1
QAT,1,1,0,2,0,1
ANG,1,0,0,1,0,0
ARU,1,0,0,1,0,0
BAR,1,0,0,1,0,0
BIH,1,0,0,1,0,0
BOT,1,0,0,1,0,0
CGO,1,0,0,1,0,0
CIV,1,0,-0,2,-0,0
CRC,1,0,0,1,-0,0
EOR,1,0,1,2,0,1
ERI,1,0,0,1,0,0
GAB,1,0,0,1,0,0
GRN,1,0,0,1,0,0
HAI,1,0,0,1,-0,0
KOS,1,0,0,1,0,0
LCA,1,0,0,1,0,0
LUX,1,0,0,1,0,0
MDA,1,0,0,1,0,0
MKD,1,0,0,1,0,0
MOZ,1,0,0,1,0,0
MRI,1,0,0,1,0,0
NAM,1,0,1,1,0,0
NIG,1,0,0,1,0,0
PAN,1,0,0,1,0,0
PNG,1,0,0,1,0,0
SEN,1,0,1,1,0,0
SEY,1,0,0,1,0,0
SUD,1,0,0,1,0,0
TJK,1,0,1,1,0,0
TKM,1,0,-0,1,0,1
UGA,1,0,1,2,0,0
ZIM,1,0,0,1,-0,0
AFG,0,0,-0,0,-0,0
AHO,0,-0,-0,0,-0,0
AIN,0,-0,-0,0,-0,0
ALB,0,0,-0,1,-0,0
AND,0,-0,-0,0,-0,0
ANT,0,0,0,1,-0,0
ANZ,0,-0,-0,0,-0,0
ASA,0,0,0,1,-0,0
BAN,0,-0,-0,1,-0,0
BDI,0,0,0,1,0,0
BEN,0,0,0,1,-0,0
BER,0,0,0,1,-0,0
BHU,0,-0,-0,0,-0,0
BIZ,0,0,-0,0,-0,0
BOH,0,-0,-0,0,-0,0
BOL,0,0,0,1,-0,0
BRU,0,-0,-0,0,-0,0
BUR,0,0,0,1,0,0
CAF,0,0,-0,1,-0,0
CAM,0,0,-0,1,-0,0
CAY,0,0,-0,1,-0,0
CHA,0,-0,-0,0,-0,0
COD,0,0,0,1,-0,0
COK,0,0,0,1,-0,0
COM,0,0,-0,0,-0,0
CPV,-0,-0,-0,0,-0,-0
CRT,0,-0,-0,0,-0,0
DJI,0,0,0,1,-0,0
DMA,0,-0,-0,0,-0,0
ESA,0,0,0,1,0,0
FRG,0,-0,-0,0,-0,0
FSM,0,0,-0,1,-0,0
GAM,0,0,-0,0,-0,0
GBS,0,0,0,1,-0,0
GDR,0,-0,-0,0,-0,0
GEQ,0,-0,-0,0,-0,0
GUI,0,0,0,1,-0,0
GUM,0,0,-0,1,-0,0
GUY,0,0,0,1,-0,0
IRQ,0,-0,-0,0,-0,0
ISL,-0,-0,-1,0,-0,0
ISV,0,0,-0,1,-0,0
IVB,0,0,-0,0,-0,0
JOR,0,-0,0,1,-0,0
KIR,0,0,-0,0,-0,0
KSA,0,0,-0,0,-0,0
KUW,-0,0,-1,0,-0,0
LAO,0,0,-0,0,-0,0
LBA,0,0,0,1,-0,0
LBN,0,-0,-0,0,-0,0
LBR,0,0,-0,0,-0,0
LES,0,0,-0,1,-0,0
LIB,0,-0,-0,0,-0,0
LIE,0,-0,-0,0,-0,0
MAD,0,0,0,1,0,0
MAL,0,-0,-0,0,-0,0
MAW,0,0,-0,1,-0,0
MDV,0,0,-0,1,-0,0
MHL,0,0,-0,0,-0,0
MLI,0,0,0,1,-0,0
MLT,0,0,-0,0,-0,0
MON,0,0,0,1,-0,0
MTN,0,-0,-0,0,-0,0
MYA,0,-0,-0,0,-0,0
NBO,0,-0,-0,0,-0,0
NCA,0,0,-0,0,-0,0
NEP,0,0,0,1,-0,0
NFL,0,-0,-0,0,-0,0
NRU,0,-0,-0,0,-0,0
OMA,0,0,-0,0,-0,0
PAK,0,0,0,1,0,0
PHI,-0,-0,-2,1,-1,-0
PLE,0,0,0,1,-0,0
PLW,0,0,-0,1,-0,0
RHO,0,-0,-0,0,-0,0
ROT,0,0,0,1,-0,0
RWA,0,0,0,1,-0,0
SAA,0,-0,-0,0,-0,0
SAM,0,0,0,1,-0,0
SCG,0,0,-0,1,-0,0
SKN,0,0,0,1,-0,0
SLE,0,0,-0,1,-0,0
SMR,-0,0,-1,0,-0,0
SOL,0,0,-0,0,-0,0
SOM,0,-0,-0,0,-0,0
SRI,0,0,0,1,-0,0
SSD,0,0,-0,0,-0,0
STP,0,-0,-0,0,-0,0
SUR,0,0,-0,1,-0,0
SVK,0,-0,-1,2,-1,0
SWZ,0,-0,-0,0,-0,0
SYR,0,0,0,1,-0,0
TAN,0,0,0,1,-0,0
TCH,-0,-0,-0,0,-0,0
TGA,0,-0,-0,1,-0,0
TLS,0,0,-0,0,-0,0
TOG,0,0,-0,1,-0,0
TUV,0,-0,-0,0,-0,0
UAE,0,0,0,1,0,0
UAR,0,-0,-0,0,-0,0
UNK,0,-0,-0,0,-0,0
URS,0,-0,-0,0,-0,0
VAN,0,0,-0,1,-0,0
VIN,0,0,-0,1,-0,0
VNM,0,-0,-0,0,-0,0
WIF,0,-0,-0,0,-0,0
