Country,total,gold,TlLower,TlUpper,GLower,GUpper
USA,123,27,97,148,15,40
CHN,77,28,68,85,24,32
GBR,67,8,58,76,3,12
AUS,64,33,52,75,28,39
JPN,48,10,39,58,5,14
FRA,34,20,16,51,12,29
NED,34,10,23,46,5,16
KOR,33,11,28,38,8,13
ITA,33,5,24,43,-0,9
CAN,26,8,18,35,4,13
BRA,22,14,8,36,7,21
SWE,18,9,13,22,6,11
ESP,17,11,10,24,7,14
GRE,15,4,12,17,3,5
ROU,15,1,11,20,-1,3
GER,14,0,2,27,-6,7
IND,13,4,10,15,3,6
UKR,12,-1,7,16,-3,1
FIN,11,4,9,13,3,5
IRL,10,5,5,14,3,7
PUR,9,6,7,12,5,7
TUR,9,2,6,12,0,3
BEL,9,-1,-0,18,-5,3
HUN,9,-3,4,15,-6,-1
RSA,8,2,4,12,-0,4
IRI,7,1,5,9,0,2
NGR,6,4,4,8,3,5
CRO,6,1,4,9,-0,2
THA,6,1,3,9,-1,3
ARM,6,-0,4,8,-1,1
SUI,6,-1,-1,14,-5,3
ALG,5,3,4,7,2,3
AZE,5,1,3,7,1,2
CYP,5,1,4,6,1,2
KEN,5,1,3,7,-0,2
PRK,5,1,3,6,-0,1
ROC,5,1,2,7,-0,3
CUB,5,-0,3,8,-2,1
EGY,5,-0,-0,10,-3,2
GEO,5,0,3,7,-1,1
MEX,5,-2,0,10,-4,0
NZL,5,-2,-4,14,-7,2
POR,4,5,0,7,4,7
ISR,4,3,2,7,2,4
EST,4,2,3,5,2,3
FIJ,4,2,2,6,1,3
MAR,4,2,2,5,1,3
SGP,4,2,2,5,1,2
INA,4,1,0,7,-0,3
JAM,4,1,3,6,0,2
MAS,4,1,2,6,0,2
TUN,4,1,3,5,0,2
PHI,4,-0,2,6,-1,1
BUL,3,1,1,5,-0,2
ETH,3,1,2,4,0,1
KGZ,3,1,2,5,-0,1
MGL,3,1,1,5,-0,1
VIE,3,1,2,3,0,1
UZB,3,0,1,5,-1,1
HKG,2,1,0,4,1,2
QAT,2,1,1,2,1,1
URU,2,1,1,2,0,1
VEN,2,1,0,3,0,2
DEN,2,-0,-5,9,-4,3
ECU,2,0,-0,5,-1,2
GUA,2,-0,1,2,-1,0
KUW,2,0,2,3,0,1
PER,2,0,0,4,-0,1
AUT,2,-1,-1,6,-2,1
DOM,2,-1,0,4,-2,0
KSA,1,1,1,2,0,1
SLO,1,1,-2,4,-1,2
ALB,1,0,0,1,-0,0
BAH,1,0,0,1,0,0
BRN,1,0,0,1,-0,0
MDA,1,-0,0,1,-0,0
MOZ,1,0,0,1,0,1
PAK,1,0,0,1,-0,0
SMR,1,0,1,2,-0,0
SYR,1,0,0,1,0,1
TPE,1,0,-2,3,-1,2
UAE,1,0,0,2,0,1
UGA,1,0,0,1,0,1
AFG,-0,-0,-1,0,-0,0
AHO,-0,-0,-0,0,-0,-0
AND,-0,-0,-0,0,-0,-0
ANG,-0,-0,-1,0,-0,0
ANT,0,0,-0,0,-0,0
ANZ,-0,-0,-0,0,-0,-0
ARU,0,0,0,1,-0,0
ASA,0,0,-0,0,-0,0
BAN,-0,0,-1,0,0,1
BAR,-0,-0,-0,0,-0,0
BDI,-0,-0,-0,0,-0,0
BEN,-0,-0,-1,0,-0,0
BHU,-0,0,-1,0,-0,0
BIH,-0,-0,-0,-0,-0,0
BIZ,-0,-0,-0,0,-0,-0
BOH,-0,-0,-0,0,-0,-0
BOL,-0,-0,-0,0,-0,0
BOT,0,0,0,1,0,0
BRU,-0,-0,-0,0,-0,0
BUR,-0,0,-1,0,-0,0
CAF,-0,-0,-0,0,-0,0
CAM,-0,-0,-0,0,-0,0
CAY,-0,-0,-0,0,-0,0
CGO,-0,-0,-0,0,-0,0
CHA,-0,0,-1,0,-0,0
CIV,0,-0,-1,1,-1,0
COD,0,0,-0,0,-0,0
COM,-0,-0,-0,0,-0,0
CPV,0,0,-0,0,0,0
CRT,-0,-0,-0,0,-0,-0
DJI,-0,-0,-0,0,-0,0
DMA,-0,-0,-0,0,-0,0
ERI,-0,0,-1,1,-0,1
ESA,-0,-0,-0,0,-0,0
EUN,-0,-0,-0,0,-0,-0
FRG,-0,-0,-0,0,-0,-0
FSM,-0,-0,-0,0,-0,0
GAB,-0,-0,-1,0,-0,0
GAM,-0,-0,-0,0,-0,0
GBS,-0,-0,-0,0,-0,-0
GDR,-0,-0,-0,0,-0,-0
GEQ,-0,-0,-0,0,-0,0
GHA,0,0,0,1,0,0
GRN,0,0,-0,0,-0,0
GUI,-0,-0,-1,-0,-0,0
GUM,-0,-0,-0,-0,-0,-0
GUY,-0,-0,-0,0,-0,0
HAI,-0,0,-0,0,-0,0
HON,-0,-0,-1,-0,-0,-0
IOA,0,-0,0,1,-0,0
IRQ,-0,-0,-0,0,-0,-0
ISV,-0,-0,-0,0,-0,0
IVB,-0,-0,-0,0,-0,-0
JOR,0,0,-0,1,-0,1
KIR,-0,-0,-0,0,-0,-0
LAO,-0,-0,-0,0,-0,0
LBA,-0,-0,-0,0,-0,0
LBR,-0,-0,-0,0,-0,0
LCA,0,0,0,1,-0,0
LES,-0,-0,-0,0,-0,-0
LIB,-0,-0,-0,0,-0,-0
LIE,-0,-0,-0,0,-0,0
MAD,-0,-0,-0,0,-0,-0
MAL,-0,-0,-0,0,-0,-0
MAW,-0,-0,-0,0,-0,0
MDV,-0,-0,-0,0,-0,0
MHL,-0,-0,-0,0,-0,0
MKD,0,-0,0,1,-0,0
MLI,-0,-0,-1,0,-0,-0
MLT,0,-0,-0,0,-0,0
MNE,-0,0,-1,1,-0,1
MON,-0,-0,-0,-0,-0,-0
MRI,0,0,-0,1,0,1
MTN,-0,-0,-0,0,-0,-0
MYA,-0,-0,-0,0,-0,-0
NAM,0,-0,-1,2,-1,1
NBO,-0,-0,-0,0,-0,-0
NCA,0,-0,-0,0,-0,0
NEP,-0,-0,-0,0,-0,0
NFL,-0,-0,-0,0,-0,-0
NIG,-0,-0,-1,1,-1,0
NRU,-0,-0,-0,0,-0,-0
OMA,0,-0,-0,0,-0,0
PAN,0,0,-0,1,0,1
PLE,-0,-0,-0,0,-0,0
PLW,-0,-0,-0,0,-0,0
PNG,0,-0,-0,1,-0,0
RHO,-0,-0,-0,0,-0,-0
ROT,-0,-0,-0,0,-0,-0
RWA,-0,0,-1,0,-0,1
SAA,-0,-0,-0,0,-0,-0
SEY,-0,-0,-0,0,-0,0
SKN,-0,-0,-0,0,-0,-0
SLE,-0,-0,-0,-0,-0,0
SOL,-0,-0,-0,0,-0,0
SOM,-0,-0,-0,0,-0,-0
SRI,0,0,-0,0,-0,0
SSD,-0,-0,-0,0,-0,-0
SUD,-0,0,-0,0,-0,0
SUR,-0,-0,-0,0,-0,0
SWZ,-0,-0,-0,0,-0,0
TAN,-0,-0,-0,0,-0,0
TCH,-0,-0,-0,0,-0,-0
TGA,0,0,-0,0,-0,0
TJK,0,0,-0,1,-0,0
TKM,0,-0,-0,1,-1,-0
TLS,-0,-0,-0,0,-0,0
TOG,-0,-0,-0,0,-0,0
TTO,0,-0,-0,1,-0,0
TUV,-0,-0,-0,0,-0,-0
UAR,-0,-0,-0,0,-0,-0
UNK,-0,-0,-0,0,-0,-0
URS,-0,-0,-0,0,-0,-0
VAN,-0,-0,-0,0,-0,0
VIN,-0,-0,-0,0,-0,0
VNM,-0,-0,-0,0,-0,-0
WIF,-0,-0,-0,0,-0,-0
YAR,-0,-0,-0,0,-0,-0
YEM,-0,-0,-0,0,-0,0
YMD,-0,-0,-0,0,-0,-0
YUG,-0,-0,-0,0,-0,-0
ZAM,-0,-0,-1,0,-0,0
ZIM,-0,0,-1,0,-0,1
SAM,-0,-1,-1,0,-1,-0
SCG,0,-1,-1,2,-1,-0
COK,-1,-0,-1,-0,-1,-0
CRC,-1,0,-2,-0,-1,1
ISL,-1,-0,-2,-1,-0,0
KOS,-1,-0,-1,-0,-1,-0
LBN,-1,-0,-1,-1,-0,-0
LUX,-1,0,-3,0,-0,1
SEN,-1,-0,-1,-0,-1,0
CMR,-1,-1,-1,0,-1,-0
PAR,-1,-1,-1,0,-1,-0
STP,-1,-1,-1,-1,-1,-1
SVK,-1,-2,-4,1,-3,-1
ARG,-1,-3,-6,4,-6,-1
AIN,-2,5,-6,3,3,7
BER,-2,-1,-3,-1,-1,-0
EOR,-2,-1,-4,1,-2,0
COL,-2,-2,-8,4,-5,1
LTU,-2,-4,-6,1,-5,-2
NOR,-3,2,-6,1,-0,4
RUS,-3,-5,-9,3,-8,-2
KAZ,-4,-5,-9,1,-8,-3
BLR,-5,-0,-8,-2,-2,1
LAT,-5,-0,-8,-2,-2,1
SRB,-8,-3,-14,-2,-5,0
CHI,-8,-4,-10,-6,-5,-3
POL,-8,-7,-17,0,-12,-3
CZE,-12,-8,-17,-7,-11,-5
