Country,total,gold,TlLower,TlUpper,GLower,GUpper
USA,168,56,144,191,47,65
CHN,107,41,91,123,35,47
FRA,83,27,62,103,20,35
AUS,78,25,66,90,20,30
JPN,89,23,65,112,14,31
GBR,79,21,69,89,17,25
BRA,46,16,33,58,12,21
GER,52,14,42,61,11,18
NED,49,13,34,65,7,19
KOR,31,13,24,38,10,16
ITA,38,11,30,46,8,14
CAN,33,10,26,39,8,13
ESP,21,7,13,29,3,10
INA,12,7,6,17,5,9
UKR,29,6,13,44,-0,12
SWE,13,6,8,18,4,8
RSA,7,6,1,14,3,8
MAS,13,5,10,15,4,5
RUS,16,4,12,21,3,6
CUB,15,4,12,17,3,5
ROC,14,4,10,19,2,6
ARG,12,4,9,15,3,6
SUI,12,4,4,20,1,7
BEL,11,4,5,16,2,6
NZL,11,4,4,18,2,7
AUT,10,4,6,13,2,5
IRL,10,4,6,15,2,5
POL,10,4,1,19,1,7
POR,10,4,5,14,2,6
SLO,8,4,4,13,2,6
GRE,10,3,6,13,1,4
DEN,9,3,2,16,1,6
GEO,8,3,7,10,2,3
HKG,8,3,7,10,2,3
KEN,8,3,5,11,2,4
IND,7,3,5,10,2,3
PRK,7,3,6,8,2,3
COL,6,3,1,11,1,4
MAR,11,2,3,20,-1,5
TUR,11,2,6,17,-0,4
AZE,8,2,6,11,1,3
CRO,7,2,4,10,1,3
EGY,7,2,1,12,-0,4
IRI,7,2,4,9,1,3
SGP,7,2,6,8,2,3
TPE,7,2,4,10,1,3
ALG,6,2,4,8,1,3
FIJ,6,2,3,9,1,4
HUN,6,2,0,12,0,5
MGL,6,2,5,8,2,3
THA,6,2,3,9,1,4
KAZ,5,2,0,10,0,4
PUR,5,2,3,7,1,3
AIN,2,2,-4,9,-1,4
MEX,13,1,3,22,-2,5
CZE,6,1,2,10,-1,3
ISR,6,1,2,10,-0,3
UZB,5,1,3,8,-0,2
ECU,4,1,-0,9,-0,3
FIN,4,1,1,7,1,2
JAM,4,1,2,6,1,2
TUN,4,1,3,5,1,2
ARM,3,1,1,4,0,1
CYP,3,1,3,4,1,1
EOR,3,1,1,5,0,2
EST,3,1,2,5,1,2
ETH,3,1,2,4,0,1
KGZ,3,1,2,4,0,1
ERI,2,1,0,3,0,1
KOS,2,1,1,2,0,1
LUX,2,1,1,4,0,1
NOR,2,1,-3,7,-1,3
QAT,2,1,1,2,1,1
TJK,2,1,2,3,0,1
UAE,2,1,1,3,1,1
URU,2,1,1,2,0,1
VEN,2,1,0,4,0,2
CRC,1,1,-1,3,-0,1
LAT,1,1,-3,5,-0,3
NGR,1,1,-0,2,0,1
PER,1,1,-4,5,-1,2
SRB,1,1,-4,5,-1,3
ROU,3,0,-1,8,-1,2
CHI,2,0,0,3,-0,1
DOM,2,0,-1,4,-1,1
NAM,2,-0,-1,4,-1,1
AFG,1,0,0,1,0,0
ALB,1,0,1,1,0,0
ANG,1,0,0,1,0,0
ANT,1,0,0,1,0,0
ARU,1,0,0,1,0,0
ASA,1,0,0,1,0,0
BAH,1,0,1,1,0,0
BAN,1,0,0,1,-0,0
BAR,1,0,0,1,0,0
BDI,1,0,0,1,0,0
BEN,1,0,0,1,0,0
BER,1,-0,-0,1,-0,0
BIH,1,0,0,1,0,0
BOL,1,0,0,1,0,0
BOT,1,0,1,1,0,0
BRN,1,0,1,1,0,0
BUR,1,0,0,2,0,1
CAY,1,0,0,1,0,0
CIV,1,0,0,1,-0,0
COD,1,0,0,1,0,0
CPV,1,0,0,1,0,0
DJI,1,0,0,1,0,0
GAB,1,0,0,1,0,0
GBS,1,0,0,1,0,0
GHA,1,0,1,1,0,0
GRN,1,0,1,1,0,0
GUA,1,0,0,1,0,0
GUI,1,0,0,1,0,0
GUM,1,0,0,1,0,0
GUY,1,0,0,1,0,0
HAI,1,0,0,1,0,0
JOR,1,0,0,2,-0,0
KIR,1,0,0,1,0,0
KSA,1,0,0,2,0,1
LBN,1,0,0,1,0,0
LCA,1,0,1,1,0,0
MAD,1,0,0,1,0,0
MDA,1,0,1,2,0,1
MKD,1,0,1,1,0,0
MON,1,0,0,1,0,0
MOZ,1,0,1,1,0,0
MRI,1,0,1,2,0,1
NEP,1,0,0,1,0,0
NIG,1,0,0,1,0,0
PAN,1,0,1,2,0,1
PLE,1,0,0,1,0,0
PNG,1,0,1,1,0,0
RWA,1,0,0,2,0,1
SLE,1,0,0,1,0,0
SRI,1,0,1,1,0,0
SUD,1,0,0,1,0,0
SYR,1,0,0,1,0,0
TGA,1,0,0,1,0,0
TKM,1,0,0,1,0,1
TTO,1,0,1,2,0,1
UGA,1,0,1,1,0,0
VAN,1,0,1,1,0,0
VIE,1,0,-0,1,-0,0
YEM,1,0,0,1,0,0
ZIM,1,0,1,1,0,0
AHO,0,0,0,1,-0,0
AND,0,0,0,1,-0,0
ANZ,0,0,0,1,-0,0
BHU,0,0,0,1,-0,0
BIZ,0,0,0,1,-0,0
BOH,0,0,0,1,-0,0
BRU,0,0,0,1,0,0
CAF,0,0,0,1,0,0
CAM,0,0,0,1,0,0
CGO,0,0,0,1,0,0
CHA,0,0,0,1,-0,0
COK,0,0,-0,0,-0,0
COM,0,0,0,1,-0,0
CRT,0,0,0,1,-0,0
