Country,total,gold,TlLower,TlUpper,GLower,GUpper
USA,138,49,125,152,42,55
CHN,85,36,80,90,34,39
GBR,73,16,67,78,14,19
AUS,64,22,59,69,20,25
JPN,47,15,42,51,13,17
ITA,38,12,34,41,11,14
KOR,36,14,33,40,13,16
NED,35,14,31,39,12,16
GER,33,11,28,38,8,13
FRA,27,15,20,34,12,18
BRA,27,5,15,38,-1,10
CAN,26,9,23,30,8,11
NZL,17,8,14,21,6,9
GRE,17,5,15,18,4,5
SWE,15,6,13,18,5,7
HUN,15,4,12,18,2,5
ESP,14,3,10,19,1,5
CRO,13,5,11,15,4,5
CUB,13,4,11,15,4,5
TUR,13,4,11,15,3,5
IND,12,4,11,14,4,5
UKR,11,3,9,13,2,5
POL,10,3,6,14,1,5
ROU,10,3,7,12,2,4
MEX,10,2,6,14,-0,4
AUT,9,4,8,11,3,5
SLO,9,4,7,11,3,5
KAZ,9,3,6,11,1,4
SUI,9,3,5,12,2,5
BEL,8,5,6,11,3,6
DEN,8,4,5,11,2,5
KEN,8,3,6,9,2,4
GEO,8,2,6,9,2,3
RSA,7,5,4,10,4,7
MGL,7,3,6,8,2,4
FIN,7,2,6,9,2,3
IRL,7,2,5,9,1,3
TPE,7,2,5,8,1,3
IRI,7,1,5,9,1,2
SRB,6,4,4,9,3,5
ARG,6,3,3,8,2,4
POR,6,3,3,8,2,4
AZE,6,2,5,8,1,2
ROC,6,1,4,8,0,2
ALG,5,2,5,6,1,2
FIJ,5,2,3,6,1,2
JAM,5,2,4,6,1,3
MAS,5,2,3,6,1,3
PRK,5,2,4,6,2,2
SGP,5,2,4,6,2,3
CYP,5,1,4,5,1,2
COL,4,3,1,7,1,4
HKG,4,2,3,6,1,2
ISR,4,2,2,6,1,3
NGR,4,2,3,5,1,2
INA,3,3,1,6,2,4
PUR,3,2,2,5,1,2
THA,3,2,2,5,1,3
EGY,3,1,0,5,-0,2
EST,3,1,3,4,1,1
ETH,3,1,2,4,1,1
LTU,3,1,1,5,-0,1
SCG,3,1,3,4,1,2
UZB,3,1,2,5,0,2
CZE,3,-0,0,5,-1,1
KGZ,3,0,2,4,-0,0
EOR,2,1,1,3,1,2
GUA,2,1,2,3,1,1
KUW,2,1,2,3,1,1
MAR,2,1,1,3,0,1
MDA,2,1,2,2,0,1
PER,2,1,0,4,-0,1
SVK,2,1,1,4,1,2
TJK,2,1,1,2,0,1
TUN,2,1,2,3,0,1
VIE,2,1,2,2,0,1
ARM,2,-0,1,3,-1,0
AIN,1,1,-2,4,-1,2
DOM,1,1,0,3,0,2
KOS,1,1,1,1,0,1
SMR,1,1,1,2,0,1
UAE,1,1,1,2,0,1
ALB,1,0,0,1,-0,0
BAH,1,0,1,1,0,0
BOT,1,0,0,1,0,0
BUR,1,0,0,1,-0,0
CMR,1,-0,0,1,-0,0
CRC,1,0,-0,1,-0,0
ECU,1,0,-1,3,-1,1
ERI,1,0,1,2,-0,1
LUX,1,0,0,2,-0,1
MOZ,1,0,1,1,0,0
MRI,1,0,1,1,-0,0
NOR,1,-0,-1,4,-1,1
PAK,1,0,0,1,0,0
PAN,1,0,0,1,-0,0
QAT,1,0,1,2,0,1
RWA,1,0,0,1,-0,0
TTO,1,0,0,1,0,0
UGA,1,0,1,1,0,0
URU,1,0,1,2,0,0
VEN,1,0,-0,2,-0,1
ZAM,1,0,0,1,-0,0
ZIM,1,0,0,1,0,0
NAM,1,-1,-1,2,-1,-0
RUS,0,1,-3,4,-1,2
AFG,0,-0,-0,1,-0,0
AHO,-0,-0,-0,0,-0,-0
AND,-0,-0,-0,0,-0,-0
ANG,0,0,0,1,-0,0
ANT,0,0,0,0,-0,0
ANZ,-0,-0,-0,0,-0,-0
ARU,0,0,0,1,-0,0
