sport,country,str,count
3x3 Basketball,CHN,1,8
3x3 Basketball,JPN,1,8
3x3 Basketball,ROC,1,8
3x3 Basketball,BEL,0,4
3x3 Basketball,FRA,0,4
3x3 Basketball,ITA,0,4
3x3 Basketball,LAT,0,4
3x3 Basketball,MGL,0,4
3x3 Basketball,NED,0,4
3x3 Basketball,POL,0,4
3x3 Basketball,ROU,0,4
3x3 Basketball,SRB,0,4
3x3 Basketball,USA,0,4
Archery,CHN,1,6
Archery,GBR,1,6
Archery,JPN,1,6
Archery,KOR,1,6
Archery,TPE,1,6
Archery,USA,1,6
Archery,AUS,0.666666666666668,4
Archery,FRA,0.666666666666668,4
Archery,GER,0.666666666666668,4
Archery,INA,0.666666666666668,4
Archery,IND,0.666666666666668,4
Archery,ITA,0.666666666666668,4
Archery,MEX,0.666666666666668,4
Archery,NED,0.666666666666668,4
Archery,ROC,0.666666666666668,4
Archery,UKR,0.666666666666668,4
Archery,BLR,0.5,3
Archery,KAZ,0.5,3
Archery,BAN,0.333333333333334,2
Archery,BRA,0.333333333333334,2
Archery,CAN,0.333333333333334,2
Archery,COL,0.333333333333334,2
Archery,EGY,0.333333333333334,2
Archery,ESP,0.333333333333334,2
Archery,MAS,0.333333333333334,2
Archery,MDA,0.333333333333334,2
Archery,MGL,0.333333333333334,2
Archery,POL,0.333333333333334,2
Archery,TUN,0.333333333333334,2
Archery,TUR,0.333333333333334,2
Archery,VIE,0.333333333333334,2
Archery,BEL,0.166666666666667,1
Archery,BHU,0.166666666666667,1
Archery,CHA,0.166666666666667,1
Archery,CHI,0.166666666666667,1
Archery,CZE,0.166666666666667,1
Archery,DEN,0.166666666666667,1
Archery,ECU,0.166666666666667,1
Archery,EST,0.166666666666667,1
Archery,FIN,0.166666666666667,1
Archery,GRE,0.166666666666667,1
Archery,HUN,0.166666666666667,1
Archery,IRI,0.166666666666667,1
Archery,ISR,0.166666666666667,1
Archery,ISV,0.166666666666667,1
Archery,LUX,0.166666666666667,1
Archery,MAW,0.166666666666667,1
Archery,ROU,0.166666666666667,1
Archery,SLO,0.166666666666667,1
Archery,SVK,0.166666666666667,1
Archery,SWE,0.166666666666667,1
Archery,AUT,0,0
Archery,AZE,0,0
Archery,CIV,0,0
Archery,CUB,0,0
Archery,DOM,0,0
Archery,FIJ,0,0
Archery,GEO,0,0
Archery,KEN,0,0
Archery,LBA,0,0
Archery,MYA,0,0
Archery,NEP,0,0
Archery,NOR,0,0
Archery,PRK,0,0
Archery,RUS,0,0
Archery,TGA,0,0
Archery,THA,0,0
Archery,VEN,0,0
Archery,ZIM,0,0
Artistic Gymnastics,CHN,1,12
Artistic Gymnastics,ROC,1,12
Artistic Gymnastics,JPN,0.909090909090908,11
Artistic Gymnastics,USA,0.909090909090908,11
Artistic Gymnastics,ESP,0.727272727272727,9
Artistic Gymnastics,GBR,0.636363636363635,8
Artistic Gymnastics,GER,0.636363636363635,8
Artistic Gymnastics,BRA,0.545454545454545,7
Artistic Gymnastics,FRA,0.545454545454545,7
Artistic Gymnastics,ITA,0.545454545454545,7
Artistic Gymnastics,KOR,0.545454545454545,7
Artistic Gymnastics,NED,0.454545454545455,6
Artistic Gymnastics,CAN,0.363636363636364,5
Artistic Gymnastics,SUI,0.363636363636364,5
Artistic Gymnastics,TPE,0.363636363636364,5
Artistic Gymnastics,TUR,0.363636363636364,5
Artistic Gymnastics,UKR,0.363636363636364,5
Artistic Gymnastics,BEL,0.272727272727272,4
Artistic Gymnastics,AUS,0.181818181818182,3
Artistic Gymnastics,EGY,0.181818181818182,3
Artistic Gymnastics,ISR,0.181818181818182,3
Artistic Gymnastics,ROU,0.181818181818182,3
Artistic Gymnastics,AZE,0.0909090909090915,2
Artistic Gymnastics,CHI,0.0909090909090915,2
Artistic Gymnastics,CRO,0.0909090909090915,2
Artistic Gymnastics,CZE,0.0909090909090915,2
