Sport,Country,Total,Gold
"3x3 Basketball",AUS,0,0
"3x3 Basketball",AZE,0,0
"3x3 Basketball",BEL,0,0
"3x3 Basketball",CAN,0,0
"3x3 Basketball",CHN,0,0
"3x3 Basketball",ESP,0,0
"3x3 Basketball",FRA,0,0
"3x3 Basketball",GER,0,0
"3x3 Basketball",ITA,0,0
"3x3 Basketball",JPN,0,0
"3x3 Basketball",LAT,0,0
"3x3 Basketball",LTU,0,0
"3x3 Basketball",MGL,0,0
"3x3 Basketball",NED,0,0
"3x3 Basketball",POL,0,0
"3x3 Basketball",ROC,0,0
"3x3 Basketball",ROU,0,0
"3x3 Basketball",SRB,0,0
"3x3 Basketball",USA,0,0
"Aeronautics",SUI,0,0
"Alpinism",GER,0,0
"Alpinism",SUI,0,0
"Archery",KOR,8.08552720803099,531.25
"Archery",USA,3.05008489979433,156.25
"Archery",URS,2.71845498503339,62.5
"Archery",CHN,2.7111911011987,31.25
"Archery",ITA,1.83194139673525,31.25
"Archery",FIN,1.69079259610821,62.5
"Archery",UKR,1.11756732449378,31.25
"Archery",GBR,1.02368628091641,0
"Archery",JPN,0.853481624758221,0
"Archery",GER,0.688405797101449,0
"Archery",TPE,0.664893617021277,0
"Archery",EUN,0.510204081632653,0
"Archery",AUS,0.43579440333025,31.25
"Archery",FRA,0.425396222318715,31.25
"Archery",SWE,0.416666666666667,0
"Archery",INA,0.371287128712871,0
"Archery",POL,0.277777777777778,0
"Archery",NED,0.271739130434783,0
"Archery",RUS,0.265957446808511,0
"Archery",ESP,0.159438775510204,31.25
"Archery",ARG,0,0
"Archery",ASA,0,0
"Archery",AUT,0,0
"Archery",AZE,0,0
"Archery",BAN,0,0
"Archery",BEL,0,0
"Archery",BHU,0,0
"Archery",BLR,0,0
"Archery",BRA,0,0
"Archery",BUL,0,0
"Archery",CAF,0,0
"Archery",CAN,0,0
"Archery",CHA,0,0
"Archery",CHI,0,0
"Archery",CIV,0,0
"Archery",COL,0,0
"Archery",CRC,0,0
"Archery",CUB,0,0
"Archery",CYP,0,0
"Archery",CZE,0,0
"Archery",DEN,0,0
"Archery",DOM,0,0
"Archery",ECU,0,0
"Archery",EGY,0,0
"Archery",ESA,0,0
"Archery",EST,0,0
"Archery",FIJ,0,0
"Archery",FRG,0,0
"Archery",GEO,0,0
"Archery",GRE,0,0
"Archery",GUI,0,0
"Archery",GUM,0,0
"Archery",HKG,0,0
"Archery",HUN,0,0
"Archery",IND,0,0
"Archery",IRI,0,0
"Archery",IRL,0,0
"Archery",IRQ,0,0
"Archery",ISR,0,0
"Archery",ISV,0,0
"Archery",JOR,0,0
