sport,country,total,gold
"3x3 Basketball",AUS,0,0
"3x3 Basketball",AZE,0,0
"3x3 Basketball",BEL,0,0
"3x3 Basketball",CAN,0,0
"3x3 Basketball",CHN,0,0
"3x3 Basketball",ESP,0,0
"3x3 Basketball",FRA,0,0
"3x3 Basketball",GER,0,0
"3x3 Basketball",ITA,0,0
"3x3 Basketball",JPN,0,0
"3x3 Basketball",LAT,0,0
"3x3 Basketball",LTU,0,0
"3x3 Basketball",MGL,0,0
"3x3 Basketball",NED,0,0
"3x3 Basketball",POL,0,0
"3x3 Basketball",ROC,0,0
"3x3 Basketball",ROU,0,0
"3x3 Basketball",SRB,0,0
"3x3 Basketball",USA,0,0
"Aeronautics",SUI,0,0
"Alpinism",GER,0,0
"Alpinism",SUI,0,0
"Archery",ARG,0,0
"Archery",ASA,0,0
"Archery",AUS,0,0
"Archery",AUT,0,0
"Archery",AZE,0,0
"Archery",BAN,0,0
"Archery",BEL,0,0
"Archery",BHU,0,0
"Archery",BLR,0,0
"Archery",BRA,0,0
"Archery",BUL,0,0
"Archery",CAF,0,0
"Archery",CAN,0,0
"Archery",CHA,0,0
"Archery",CHI,0,0
"Archery",CHN,0,0
"Archery",CIV,0,0
"Archery",COL,0,0
"Archery",CRC,0,0
"Archery",CUB,0,0
"Archery",CYP,0,0
"Archery",CZE,0,0
"Archery",DEN,0,0
"Archery",DOM,0,0
"Archery",ECU,0,0
"Archery",EGY,0,0
"Archery",ESA,0,0
"Archery",ESP,0,0
"Archery",EST,0,0
"Archery",EUN,0,0
"Archery",FIJ,0,0
"Archery",FIN,0,0
"Archery",FRA,0,0
"Archery",FRG,0,0
"Archery",GBR,0,0
"Archery",GEO,0,0
"Archery",GER,0,0
"Archery",GRE,0,0
"Archery",GUI,0,0
"Archery",GUM,0,0
"Archery",HKG,0,0
"Archery",HUN,0,0
"Archery",INA,0,0
"Archery",IND,0,0
"Archery",IRI,0,0
"Archery",IRL,0,0
"Archery",IRQ,0,0
"Archery",ISR,0,0
"Archery",ISV,0,0
"Archery",ITA,0,0
"Archery",JOR,0,0
"Archery",JPN,0,0
"Archery",KAZ,0,0
"Archery",KEN,0,0
"Archery",KOR,0,0
"Archery",KSA,0,0
"Archery",LAO,0,0
"Archery",LBA,0,0
"Archery",LUX,0,0
"Archery",MAR,0,0
"Archery",MAS,0,0
"Archery",MAW,0,0
"Archery",MDA,0,0
"Archery",MEX,0,0
"Archery",MGL,0,0
"Archery",MLT,0,0
"Archery",MON,0,0
"Archery",MRI,0,0
"Archery",MYA,0,0
"Archery",NED,0,0
"Archery",NEP,0,0
