Sport,Country,Total,Gold
"3x3 Basketball",AUS,0,0
"3x3 Basketball",AZE,0,0
"3x3 Basketball",BEL,0,0
"3x3 Basketball",CAN,0,0
"3x3 Basketball",CHN,0,0
"3x3 Basketball",ESP,0,0
"3x3 Basketball",FRA,0,0
"3x3 Basketball",GER,0,0
"3x3 Basketball",ITA,0,0
"3x3 Basketball",JPN,0,0
"3x3 Basketball",LAT,0,0
"3x3 Basketball",LTU,0,0
"3x3 Basketball",MGL,0,0
"3x3 Basketball",NED,0,0
"3x3 Basketball",POL,0,0
"3x3 Basketball",ROC,0,0
"3x3 Basketball",ROU,0,0
"3x3 Basketball",SRB,0,0
"3x3 Basketball",USA,0,0
"Aeronautics",SUI,0,0
"Alpinism",GER,0,0
"Alpinism",SUI,0,0
"Archery",KOR,8.59525185838064,687.5
"Archery",USA,2.76162336133279,93.75
"Archery",CHN,2.63033445784206,31.25
"Archery",ITA,1.40078643251342,62.5
"Archery",UKR,1.11756732449378,31.25
"Archery",GER,1.04898272017837,0
"Archery",GBR,1.02368628091641,0
"Archery",JPN,0.999897708674304,0
"Archery",TPE,0.905278232405892,0
"Archery",FRA,0.785973145395638,31.25
"Archery",AUS,0.676179018714865,31.25
"Archery",RUS,0.626534369885434,0
"Archery",MEX,0.600961538461539,0
"Archery",EUN,0.510204081632653,0
"Archery",SWE,0.416666666666667,0
"Archery",FIN,0.38265306122449,0
"Archery",INA,0.371287128712871,0
"Archery",POL,0.277777777777778,0
"Archery",NED,0.271739130434783,0
"Archery",URS,0.247524752475248,0
"Archery",ESP,0.159438775510204,31.25
"Archery",ARG,0,0
"Archery",ASA,0,0
"Archery",AUT,0,0
"Archery",AZE,0,0
"Archery",BAN,0,0
"Archery",BEL,0,0
"Archery",BHU,0,0
"Archery",BLR,0,0
"Archery",BRA,0,0
"Archery",BUL,0,0
"Archery",CAF,0,0
"Archery",CAN,0,0
"Archery",CHA,0,0
"Archery",CHI,0,0
"Archery",CIV,0,0
"Archery",COL,0,0
"Archery",CRC,0,0
"Archery",CUB,0,0
"Archery",CYP,0,0
"Archery",CZE,0,0
"Archery",DEN,0,0
"Archery",DOM,0,0
"Archery",ECU,0,0
"Archery",EGY,0,0
"Archery",ESA,0,0
"Archery",EST,0,0
"Archery",FIJ,0,0
"Archery",FRG,0,0
"Archery",GEO,0,0
"Archery",GRE,0,0
"Archery",GUI,0,0
"Archery",GUM,0,0
"Archery",HKG,0,0
"Archery",HUN,0,0
"Archery",IND,0,0
"Archery",IRI,0,0
"Archery",IRL,0,0
"Archery",IRQ,0,0
"Archery",ISR,0,0
