Sport,Country,Ratio,Onlybefore2Count
Archery,ARG,0.892857142857143,2
Archery,AUS,1.78571428571429,4
Archery,AUT,0.446428571428571,1
Archery,BEL,3.125,7
Archery,BHU,3.57142857142857,8
Archery,BRA,0.892857142857143,2
Archery,CAN,3.125,7
Archery,CHN,5.35714285714286,12
Archery,COL,0.446428571428571,1
Archery,DEN,1.33928571428571,3
Archery,ESP,3.57142857142857,8
Archery,FIN,4.01785714285714,9
Archery,FRA,3.57142857142857,8
Archery,FRG,4.01785714285714,9
Archery,GBR,4.46428571428571,10
Archery,HKG,3.57142857142857,8
Archery,INA,2.67857142857143,6
Archery,IND,1.33928571428571,3
Archery,IRL,1.78571428571429,4
Archery,ITA,1.78571428571429,4
Archery,JOR,0.446428571428571,1
Archery,JPN,4.01785714285714,9
Archery,KOR,4.91071428571429,11
Archery,KSA,2.23214285714286,5
Archery,LUX,1.78571428571429,4
Archery,MEX,1.78571428571429,4
Archery,MGL,1.33928571428571,3
Archery,MLT,0.446428571428571,1
Archery,MON,0.446428571428571,1
Archery,NED,1.78571428571429,4
Archery,NOR,0.446428571428571,1
Archery,NZL,1.33928571428571,3
Archery,PHI,0.892857142857143,2
Archery,POL,1.33928571428571,3
Archery,POR,1.33928571428571,3
Archery,PUR,1.33928571428571,3
Archery,SOL,0.446428571428571,1
Archery,SUI,1.78571428571429,4
Archery,SWE,3.57142857142857,8
Archery,THA,0.892857142857143,2
Archery,TPE,3.57142857142857,8
Archery,TUR,3.125,7
Archery,URS,2.67857142857143,6
Archery,USA,4.46428571428571,10
Archery,ZIM,1.78571428571429,4
Athletics,AHO,0.119712689545092,3
Athletics,ALG,0.718276137270551,18
Athletics,AND,0.0399042298483639,1
Athletics,ANG,0.239425379090184,6
Athletics,ANT,0.558659217877095,14
Athletics,ARG,0.359138068635275,9
Athletics,ARU,0.0798084596967279,2
Athletics,ASA,0.0399042298483639,1
Athletics,AUS,1.95530726256983,49
Athletics,AUT,0.558659217877095,14
Athletics,BAH,0.837988826815642,21
Athletics,BAN,0.19952114924182,5
Athletics,BAR,0.518754988028731,13
Athletics,BEL,1.03750997605746,26
Athletics,BEN,0.239425379090184,6
Athletics,BER,0.279329608938547,7
Athletics,BIZ,0.319233838786911,8
Athletics,BOL,0.159616919393456,4
Athletics,BOT,0.399042298483639,10
Athletics,BRA,1.27693535514765,32
Athletics,BRN,0.119712689545092,3
Athletics,BUL,0.877893056664006,22
Athletics,BUR,0.159616919393456,4
Athletics,CAF,0.0399042298483639,1
Athletics,CAN,4.07023144453312,102
Athletics,CAY,0.0798084596967279,2
Athletics,CGO,0.438946528332003,11
Athletics,CHA,0.359138068635275,9
Athletics,CHI,0.319233838786911,8
Athletics,CHN,2.4341580207502,61
Athletics,CIV,0.478850758180367,12
Athletics,CMR,0.518754988028731,13
Athletics,COD,0.279329608938547,7
Athletics,COK,0.0798084596967279,2
Athletics,COL,0.438946528332003,11
Athletics,CRC,0.239425379090184,6
Athletics,CYP,0.279329608938547,7
Athletics,DEN,0.279329608938547,7
Athletics,DJI,0.279329608938547,7
Athletics,DOM,0.239425379090184,6
Athletics,ECU,0.279329608938547,7
Athletics,EGY,0.279329608938547,7
Athletics,ESA,0.19952114924182,5
Athletics,ESP,1.91540303272147,48
Athletics,FIJ,0.399042298483639,10
Athletics,FIN,1.31683958499601,33
Athletics,FRA,3.51157222665603,88
Athletics,FRG,3.39185953711093,85
Athletics,GAB,0.0798084596967279,2
Athletics,GAM,0.438946528332003,11
Athletics,GBR,6.3048683160415,158
Athletics,GDR,2.31444533120511,58
Athletics,GEQ,0.319233838786911,8
Athletics,GHA,0.91779728651237,23
Athletics,GRE,0.598563447725459,15
Athletics,GRN,0.159616919393456,4
Athletics,GUA,0.319233838786911,8
Athletics,GUI,0.0798084596967279,2
Athletics,GUM,0.239425379090184,6
Athletics,GUY,0.239425379090184,6
Athletics,HAI,0.119712689545092,3
Athletics,HKG,0.239425379090184,6
Athletics,HON,0.19952114924182,5
Athletics,HUN,0.598563447725459,15
Athletics,INA,0.399042298483639,10
Athletics,IND,0.399042298483639,10
Athletics,IRI,0.0399042298483639,1
Athletics,IRL,1.19712689545092,30
Athletics,IRQ,0.0798084596967279,2
Athletics,ISL,0.399042298483639,10
Athletics,ISR,0.239425379090184,6
Athletics,ISV,0.359138068635275,9
Athletics,ITA,2.8731045490822,72
Athletics,IVB,0.19952114924182,5
Athletics,JAM,1.91540303272147,48
Athletics,JOR,0.19952114924182,5
Athletics,JPN,1.67597765363128,42
Athletics,KEN,2.35434956105347,59
Athletics,KOR,2.11492418196329,53
Athletics,KSA,0.239425379090184,6
Athletics,KUW,0.279329608938547,7
Athletics,LAO,0.0399042298483639,1
Athletics,LBA,0.0798084596967279,2
Athletics,LBR,0.359138068635275,9
Athletics,LES,0.19952114924182,5
Athletics,LIB,0.239425379090184,6
Athletics,LIE,0.159616919393456,4
Athletics,LUX,0.159616919393456,4
Athletics,MAD,0.0798084596967279,2
Athletics,MAR,0.478850758180367,12
Athletics,MAS,0.119712689545092,3
Athletics,MAW,0.319233838786911,8
Athletics,MDV,0.279329608938547,7
Athletics,MEX,1.35674381484437,34
Athletics,MLI,0.19952114924182,5
Athletics,MLT,0.0399042298483639,1
Athletics,MON,0.0399042298483639,1
Athletics,MOZ,0.399042298483639,10
Athletics,MRI,0.279329608938547,7
Athletics,MTN,0.0798084596967279,2
Athletics,MYA,0.0798084596967279,2
Athletics,NED,0.91779728651237,23
Athletics,NEP,0.438946528332003,11
Athletics,NGR,1.23703112529928,31
Athletics,NIG,0.19952114924182,5
Athletics,NOR,0.758180367118915,19
Athletics,NZL,0.718276137270551,18
Athletics,OMA,0.359138068635275,9
Athletics,PAK,0.359138068635275,9
Athletics,PAN,0.0798084596967279,2
Athletics,PAR,0.279329608938547,7
Athletics,PER,0.119712689545092,3
Athletics,PHI,0.279329608938547,7
Athletics,PNG,0.399042298483639,10
Athletics,POL,0.837988826815642,21
Athletics,POR,1.4365522745411,36
Athletics,PUR,0.718276137270551,18
Athletics,QAT,0.478850758180367,12
Athletics,ROU,0.478850758180367,12
Athletics,RWA,0.319233838786911,8
Athletics,SAM,0.0798084596967279,2
Athletics,SEN,0.758180367118915,19
Athletics,SEY,0.19952114924182,5
Athletics,SLE,0.438946528332003,11
Athletics,SMR,0.119712689545092,3
Athletics,SOL,0.119712689545092,3
Athletics,SOM,0.319233838786911,8
Athletics,SRI,0.0798084596967279,2
Athletics,SUD,0.159616919393456,4
Athletics,SUI,1.19712689545092,30
Athletics,SUR,0.19952114924182,5
Athletics,SWE,1.31683958499601,33
Athletics,SWZ,0.239425379090184,6
Athletics,SYR,0.0399042298483639,1
Athletics,TAN,0.638467677573823,16
Athletics,TCH,0.91779728651237,23
Athletics,TGA,0.0798084596967279,2
Athletics,THA,0.558659217877095,14
Athletics,TOG,0.239425379090184,6
Athletics,TPE,0.798084596967279,20
Athletics,TTO,0.518754988028731,13
Athletics,TUN,0.119712689545092,3
Athletics,TUR,0.239425379090184,6
Athletics,UAE,0.279329608938547,7
Athletics,UGA,0.718276137270551,18
Athletics,URS,3.31205107741421,83
Athletics,URU,0.0399042298483639,1
Athletics,USA,7.3024740622506,183
Athletics,VAN,0.119712689545092,3
Athletics,VEN,0.119712689545092,3
Athletics,VIE,0.0798084596967279,2
Athletics,VIN,0.239425379090184,6
Athletics,YAR,0.239425379090184,6
Athletics,YMD,0.119712689545092,3
Athletics,YUG,0.598563447725459,15
Athletics,ZAM,0.319233838786911,8
Athletics,ZIM,0.518754988028731,13
Basketball,AUS,8.08080808080808,32
Basketball,BRA,4.7979797979798,19
Basketball,BUL,3.03030303030303,12
Basketball,CAF,3.03030303030303,12
Basketball,CAN,7.57575757575758,30
Basketball,CHN,9.09090909090909,36
Basketball,EGY,5.55555555555556,22
Basketball,ESP,4.54545454545455,18
Basketball,FRA,3.03030303030303,12
Basketball,FRG,3.03030303030303,12
Basketball,ITA,3.03030303030303,12
Basketball,KOR,7.57575757575758,30
Basketball,PUR,3.03030303030303,12
Basketball,TCH,3.03030303030303,12
Basketball,URS,6.06060606060606,24
Basketball,URU,2.77777777777778,11
Basketball,USA,11.6161616161616,46
Basketball,YUG,11.1111111111111,44
Boxing,ALG,1.62162162162162,12
Boxing,ANG,0.405405405405405,3
Boxing,ANT,0.27027027027027,2
Boxing,ARG,1.35135135135135,10
Boxing,ARU,0.27027027027027,2
Boxing,ASA,0.27027027027027,2
Boxing,AUS,1.21621621621622,9
Boxing,AUT,0.405405405405405,3
Boxing,BAH,0.405405405405405,3
Boxing,BAR,0.540540540540541,4
Boxing,BEN,0.405405405405405,3
Boxing,BER,0.135135135135135,1
Boxing,BIZ,0.135135135135135,1
Boxing,BOL,0.135135135135135,1
Boxing,BOT,0.27027027027027,2
Boxing,BRA,0.405405405405405,3
Boxing,BUL,1.48648648648649,11
Boxing,BUR,0.27027027027027,2
Boxing,CAF,0.540540540540541,4
Boxing,CAN,2.56756756756757,19
Boxing,CHN,0.27027027027027,2
Boxing,CIV,0.540540540540541,4
Boxing,CMR,1.08108108108108,8
Boxing,COD,1.48648648648649,11
Boxing,COK,0.405405405405405,3
Boxing,COL,0.945945945945946,7
Boxing,CRC,0.135135135135135,1
Boxing,DEN,0.675675675675676,5
Boxing,DOM,1.35135135135135,10
Boxing,ECU,0.135135135135135,1
Boxing,EGY,0.945945945945946,7
Boxing,ESA,0.27027027027027,2
Boxing,ESP,1.21621621621622,9
Boxing,FIJ,0.27027027027027,2
Boxing,FIN,0.810810810810811,6
Boxing,FRA,1.08108108108108,8
Boxing,FRG,1.48648648648649,11
Boxing,GAB,0.405405405405405,3
Boxing,GBR,2.56756756756757,19
Boxing,GDR,1.48648648648649,11
Boxing,GHA,1.35135135135135,10
Boxing,GRE,0.405405405405405,3
Boxing,GRN,0.945945945945946,7
Boxing,GUA,0.27027027027027,2
Boxing,GUI,0.27027027027027,2
Boxing,GUM,0.135135135135135,1
Boxing,GUY,0.810810810810811,6
Boxing,HON,0.27027027027027,2
Boxing,HUN,1.21621621621622,9
Boxing,INA,0.675675675675676,5
Boxing,IND,0.675675675675676,5
Boxing,IRL,1.48648648648649,11
Boxing,IRQ,0.810810810810811,6
Boxing,ISR,0.540540540540541,4
Boxing,ISV,0.135135135135135,1
Boxing,ITA,1.89189189189189,14
Boxing,JAM,0.945945945945946,7
Boxing,JOR,0.27027027027027,2
Boxing,JPN,1.48648648648649,11
Boxing,KEN,2.7027027027027,20
Boxing,KOR,2.7027027027027,20
Boxing,KUW,0.405405405405405,3
Boxing,LAO,0.27027027027027,2
Boxing,LBR,0.540540540540541,4
Boxing,LES,0.675675675675676,5
Boxing,LIB,0.540540540540541,4
Boxing,MAD,0.405405405405405,3
Boxing,MAR,1.35135135135135,10
Boxing,MAW,1.62162162162162,12
Boxing,MEX,1.62162162162162,12
Boxing,MGL,0.945945945945946,7
Boxing,MLI,0.27027027027027,2
Boxing,MOZ,0.405405405405405,3
Boxing,MRI,0.135135135135135,1
Boxing,MYA,0.135135135135135,1
Boxing,NCA,0.405405405405405,3
Boxing,NED,0.405405405405405,3
Boxing,NEP,0.945945945945946,7
Boxing,NGR,1.75675675675676,13
Boxing,NIG,0.675675675675676,5
Boxing,NOR,0.405405405405405,3
Boxing,NZL,0.27027027027027,2
Boxing,OMA,0.27027027027027,2
Boxing,PAK,0.675675675675676,5
Boxing,PAR,0.540540540540541,4
Boxing,PHI,1.08108108108108,8
Boxing,PNG,0.27027027027027,2
Boxing,POL,0.945945945945946,7
Boxing,PUR,2.83783783783784,21
Boxing,ROU,1.08108108108108,8
Boxing,SAM,1.48648648648649,11
Boxing,SEY,0.540540540540541,4
Boxing,SLE,0.540540540540541,4
Boxing,SOL,0.135135135135135,1
Boxing,SUD,1.08108108108108,8
Boxing,SWE,1.48648648648649,11
Boxing,SWZ,0.675675675675676,5
Boxing,SYR,0.675675675675676,5
Boxing,TAN,1.35135135135135,10
Boxing,TCH,0.405405405405405,3
Boxing,TGA,1.35135135135135,10
Boxing,THA,1.35135135135135,10
Boxing,TOG,0.810810810810811,6
Boxing,TPE,0.540540540540541,4
Boxing,TTO,0.27027027027027,2
Boxing,TUN,0.405405405405405,3
Boxing,TUR,1.35135135135135,10
Boxing,UGA,2.43243243243243,18
Boxing,URS,1.62162162162162,12
Boxing,URU,0.405405405405405,3
Boxing,USA,3.10810810810811,23
Boxing,VAN,0.135135135135135,1
Boxing,VEN,0.945945945945946,7
Boxing,VIE,0.27027027027027,2
Boxing,YMD,0.27027027027027,2
Boxing,YUG,1.48648648648649,11
Boxing,ZAM,1.89189189189189,14
Boxing,ZIM,0.675675675675676,5
Canoeing,ARG,2.01005025125628,8
Canoeing,AUS,4.02010050251256,16
Canoeing,AUT,0.50251256281407,2
Canoeing,BEL,1.75879396984925,7
Canoeing,BUL,3.01507537688442,12
Canoeing,CAN,5.52763819095477,22
Canoeing,CHN,2.01005025125628,8
Canoeing,CIV,1.00502512562814,4
Canoeing,DEN,1.75879396984925,7
Canoeing,ESP,4.02010050251256,16
Canoeing,FIN,1.50753768844221,6
Canoeing,FRA,5.52763819095477,22
Canoeing,FRG,6.28140703517588,25
Canoeing,GBR,5.77889447236181,23
Canoeing,GDR,3.76884422110553,15
Canoeing,HKG,2.01005025125628,8
Canoeing,HUN,4.02010050251256,16
Canoeing,IRL,1.25628140703518,5
Canoeing,ISR,0.251256281407035,1
Canoeing,ITA,2.51256281407035,10
Canoeing,JPN,2.76381909547739,11
Canoeing,KOR,4.02010050251256,16
Canoeing,MEX,0.50251256281407,2
Canoeing,NED,1.00502512562814,4
Canoeing,NOR,4.2713567839196,17
Canoeing,NZL,2.26130653266332,9
Canoeing,POL,3.01507537688442,12
Canoeing,POR,0.753768844221105,3
Canoeing,ROU,4.52261306532663,18
Canoeing,SUI,1.25628140703518,5
Canoeing,SWE,3.76884422110553,15
Canoeing,TCH,2.26130653266332,9
Canoeing,URS,4.2713567839196,17
Canoeing,USA,6.03015075376884,24
Canoeing,YUG,1.00502512562814,4
Cycling,ALG,0.274725274725275,2
Cycling,AND,0.274725274725275,2
Cycling,ANT,0.686813186813187,5
Cycling,ARG,1.64835164835165,12
Cycling,AUS,3.84615384615385,28
Cycling,AUT,2.06043956043956,15
Cycling,BAR,0.412087912087912,3
Cycling,BEL,1.92307692307692,14
Cycling,BER,0.412087912087912,3
Cycling,BIZ,1.51098901098901,11
Cycling,BOL,0.137362637362637,1
Cycling,BRA,1.78571428571429,13
Cycling,CAN,3.02197802197802,22
Cycling,CAY,1.37362637362637,10
Cycling,CHI,0.961538461538462,7
Cycling,CHN,2.06043956043956,15
Cycling,CMR,0.686813186813187,5
Cycling,COD,0.549450549450549,4
Cycling,COL,1.92307692307692,14
Cycling,CYP,0.137362637362637,1
Cycling,DEN,2.88461538461538,21
Cycling,ECU,0.137362637362637,1
Cycling,ESP,2.33516483516484,17
Cycling,FIJ,0.137362637362637,1
Cycling,FIN,1.23626373626374,9
Cycling,FRA,3.84615384615385,28
Cycling,FRG,4.3956043956044,32
Cycling,GBR,4.25824175824176,31
Cycling,GDR,2.33516483516484,17
Cycling,GRE,0.274725274725275,2
Cycling,GUA,0.686813186813187,5
Cycling,GUY,0.686813186813187,5
Cycling,HKG,0.961538461538462,7
Cycling,HUN,0.137362637362637,1
Cycling,IRI,0.961538461538462,7
Cycling,IRL,1.23626373626374,9
Cycling,ISV,0.137362637362637,1
Cycling,ITA,4.94505494505495,36
Cycling,JAM,0.824175824175824,6
Cycling,JPN,2.74725274725275,20
Cycling,KOR,3.02197802197802,22
Cycling,KSA,0.824175824175824,6
Cycling,LBA,0.274725274725275,2
Cycling,LIB,0.412087912087912,3
Cycling,LIE,0.412087912087912,3
Cycling,MAR,0.549450549450549,4
Cycling,MAS,0.274725274725275,2
Cycling,MAW,0.549450549450549,4
