Sport,Country,Ratio,Onlybefore2Count
Archery,AUS,2.29357798165138,5
Archery,AUT,0.458715596330275,1
Archery,AZE,0.458715596330275,1
Archery,BAN,0.917431192660551,2
Archery,BEL,0.458715596330275,1
Archery,BHU,0.917431192660551,2
Archery,BLR,0.917431192660551,2
Archery,BRA,2.75229357798165,6
Archery,BUL,0.458715596330275,1
Archery,CAN,1.37614678899083,3
Archery,CHI,0.917431192660551,2
Archery,CHN,5.04587155963303,11
Archery,CIV,0.458715596330275,1
Archery,COL,2.29357798165138,5
Archery,CUB,0.917431192660551,2
Archery,DEN,1.37614678899083,3
Archery,DOM,0.458715596330275,1
Archery,EGY,1.37614678899083,3
Archery,ESP,2.75229357798165,6
Archery,EST,0.917431192660551,2
Archery,FIJ,0.458715596330275,1
Archery,FIN,0.917431192660551,2
Archery,FRA,3.21100917431193,7
Archery,GBR,3.21100917431193,7
Archery,GEO,1.37614678899083,3
Archery,GER,1.8348623853211,4
Archery,GRE,0.458715596330275,1
Archery,HKG,0.458715596330275,1
Archery,INA,1.8348623853211,4
Archery,IND,3.6697247706422,8
Archery,IRI,1.37614678899083,3
Archery,IRQ,0.458715596330275,1
Archery,ITA,4.58715596330275,10
Archery,JPN,3.6697247706422,8
Archery,KAZ,1.8348623853211,4
Archery,KEN,0.458715596330275,1
Archery,KOR,5.04587155963303,11
Archery,LBA,0.458715596330275,1
Archery,LUX,0.458715596330275,1
Archery,MAS,2.29357798165138,5
Archery,MAW,0.458715596330275,1
Archery,MDA,0.917431192660551,2
Archery,MEX,3.6697247706422,8
Archery,MGL,0.917431192660551,2
Archery,MYA,0.917431192660551,2
Archery,NED,1.37614678899083,3
Archery,NEP,0.458715596330275,1
Archery,NOR,0.458715596330275,1
Archery,PHI,0.917431192660551,2
Archery,POL,1.37614678899083,3
Archery,PRK,0.917431192660551,2
Archery,RSA,0.458715596330275,1
Archery,RUS,1.8348623853211,4
Archery,SAM,0.458715596330275,1
Archery,SLO,0.458715596330275,1
Archery,SMR,0.458715596330275,1
Archery,SUI,0.917431192660551,2
Archery,SVK,0.917431192660551,2
Archery,SWE,0.458715596330275,1
Archery,TGA,0.917431192660551,2
Archery,THA,0.458715596330275,1
Archery,TPE,4.58715596330275,10
Archery,TUR,1.37614678899083,3
Archery,UKR,3.6697247706422,8
Archery,USA,3.6697247706422,8
Archery,VEN,0.917431192660551,2
Archery,ZIM,0.458715596330275,1
Athletics,AFG,0.111327581408294,4
Athletics,ALB,0.0834956860562204,3
Athletics,ALG,0.528806011689396,19
Athletics,AND,0.0834956860562204,3
Athletics,ANG,0.111327581408294,4
Athletics,ANT,0.222655162816588,8
Athletics,ARG,0.445310325633176,16
Athletics,ARM,0.250487058168661,9
Athletics,ASA,0.0834956860562204,3
Athletics,AUS,2.44920679098247,88
Athletics,AUT,0.278318953520735,10
Athletics,AZE,0.166991372112441,6
Athletics,BAH,0.946284441970498,34
Athletics,BAN,0.0834956860562204,3
Athletics,BAR,0.250487058168661,9
Athletics,BDI,0.166991372112441,6
Athletics,BEL,0.918452546618425,33
Athletics,BEN,0.111327581408294,4
Athletics,BER,0.0834956860562204,3
Athletics,BIH,0.139159476760367,5
Athletics,BIZ,0.111327581408294,4
Athletics,BLR,1.892568883941,68
Athletics,BOL,0.222655162816588,8
Athletics,BOT,0.278318953520735,10
Athletics,BRA,2.11522404675758,76
Athletics,BRN,1.00194823267465,36
Athletics,BRU,0.111327581408294,4
Athletics,BUL,0.417478430281102,15
Athletics,BUR,0.0834956860562204,3
Athletics,CAF,0.0834956860562204,3
Athletics,CAM,0.111327581408294,4
Athletics,CAN,2.36571110492625,85
Athletics,CAY,0.055663790704147,2
Athletics,CGO,0.111327581408294,4
Athletics,CHA,0.0834956860562204,3
Athletics,CHI,0.333982744224882,12
Athletics,CHN,2.28221541887003,82
Athletics,CIV,0.139159476760367,5
Athletics,CMR,0.111327581408294,4
Athletics,COD,0.111327581408294,4
Athletics,COK,0.0834956860562204,3
Athletics,COL,1.41942666295575,51
Athletics,COM,0.0834956860562204,3
Athletics,CPV,0.0834956860562204,3
Athletics,CRC,0.139159476760367,5
Athletics,CRO,0.445310325633176,16
Athletics,CUB,1.97606456999722,71
Athletics,CYP,0.222655162816588,8
Athletics,CZE,1.19677150013916,43
Athletics,DEN,0.306150848872808,11
Athletics,DJI,0.166991372112441,6
Athletics,DMA,0.111327581408294,4
Athletics,DOM,0.445310325633176,16
Athletics,ECU,0.64013359309769,23
Athletics,EGY,0.250487058168661,9
Athletics,ERI,0.500974116337323,18
Athletics,ESA,0.111327581408294,4
Athletics,ESP,2.11522404675758,76
Athletics,EST,0.667965488449763,24
Athletics,ETH,1.47509045365989,53
Athletics,FIJ,0.0834956860562204,3
Athletics,FIN,0.695797383801837,25
Athletics,FRA,2.14305594210966,77
Athletics,FSM,0.111327581408294,4
Athletics,GAB,0.055663790704147,2
Athletics,GAM,0.111327581408294,4
Athletics,GBR,3.20066796548845,115
Athletics,GBS,0.0834956860562204,3
Athletics,GEO,0.250487058168661,9
