sport,country,total,gold
"3x3 Basketball",AUS,0,0
"3x3 Basketball",AZE,0,0
"3x3 Basketball",BEL,0,0
"3x3 Basketball",CAN,0,0
"3x3 Basketball",CHN,0,0
"3x3 Basketball",ESP,0,0
"3x3 Basketball",FRA,0,0
"3x3 Basketball",GER,0,0
"3x3 Basketball",ITA,0,0
"3x3 Basketball",JPN,0,0
"3x3 Basketball",LAT,0,0
"3x3 Basketball",LTU,0,0
"3x3 Basketball",MGL,0,0
"3x3 Basketball",NED,0,0
"3x3 Basketball",POL,0,0
"3x3 Basketball",ROC,0,0
"3x3 Basketball",ROU,0,0
"3x3 Basketball",SRB,0,0
"3x3 Basketball",USA,0,0
"Aeronautics",SUI,0,0
"Alpinism",GER,0,0
"Alpinism",SUI,0,0
"Archery",KOR,1,693.75
"Archery",CHN,0.349918868032761,31.25
"Archery",USA,0.264482213361917,62.5
"Archery",ITA,0.248864610793205,62.5
"Archery",JPN,0.183030534220234,0
"Archery",GER,0.164554385110504,0
"Archery",TPE,0.157940093158586,0
"Archery",UKR,0.14867230742135,31.25
"Archery",MEX,0.104953194739577,0
"Archery",FRA,0.104559643554464,31.25
"Archery",GBR,0.103254383727888,0
"Archery",AUS,0.089953502342939,31.25
"Archery",RUS,0.0833491713725991,0
"Archery",ROC,0.0750180910853333,0
"Archery",NED,0.0736590676961063,0
"Archery",EUN,0.0678735109819682,0
"Archery",SWE,0.0554300339686074,0
"Archery",FIN,0.0509051332364762,0
"Archery",POL,0.0369533559790716,0
"Archery",ESP,0.0212104721818651,31.25
"Archery",TUR,0.0125030151808889,25
"Archery",ARG,0,0
"Archery",ASA,0,0
"Archery",AUT,0,0
"Archery",AZE,0,0
"Archery",BAN,0,0
"Archery",BEL,0,0
"Archery",BHU,0,0
"Archery",BLR,0,0
"Archery",BRA,0,0
"Archery",BUL,0,0
"Archery",CAF,0,0
"Archery",CAN,0,0
"Archery",CHA,0,0
"Archery",CHI,0,0
"Archery",CIV,0,0
"Archery",COL,0,0
"Archery",CRC,0,0
"Archery",CUB,0,0
"Archery",CYP,0,0
"Archery",CZE,0,0
"Archery",DEN,0,0
"Archery",DOM,0,0
"Archery",ECU,0,0
"Archery",EGY,0,0
"Archery",ESA,0,0
"Archery",EST,0,0
"Archery",FIJ,0,0
"Archery",FRG,0,0
"Archery",GEO,0,0
"Archery",GRE,0,0
"Archery",GUI,0,0
"Archery",GUM,0,0
"Archery",HKG,0,0
"Archery",HUN,0,0
"Archery",INA,0,0
"Archery",IND,0,0
"Archery",IRI,0,0
"Archery",IRL,0,0
"Archery",IRQ,0,0
