sport,country,total,gold
"3x3 Basketball",AUS,0,0
"3x3 Basketball",AZE,0,0
"3x3 Basketball",BEL,0,0
"3x3 Basketball",CAN,0,0
"3x3 Basketball",CHN,0,0
"3x3 Basketball",ESP,0,0
"3x3 Basketball",FRA,0,0
"3x3 Basketball",GER,0,0
"3x3 Basketball",ITA,0,0
"3x3 Basketball",JPN,0,0
"3x3 Basketball",LAT,0,0
"3x3 Basketball",LTU,0,0
"3x3 Basketball",MGL,0,0
"3x3 Basketball",NED,0,0
"3x3 Basketball",POL,0,0
"3x3 Basketball",ROC,0,0
"3x3 Basketball",ROU,0,0
"3x3 Basketball",SRB,0,0
"3x3 Basketball",USA,0,0
"Aeronautics",SUI,0,0
"Alpinism",GER,0,0
"Alpinism",SUI,0,0
"Archery",KOR,1,531.25
"Archery",USA,0.377227708387997,156.25
"Archery",URS,0.33621245901359,62.5
"Archery",CHN,0.335314078036346,31.25
"Archery",ITA,0.226570432527351,31.25
"Archery",FIN,0.209113463180091,62.5
"Archery",UKR,0.138218238061675,31.25
"Archery",GBR,0.126607239649089,0
"Archery",JPN,0.105556706792168,0
"Archery",GER,0.0851404960232756,0
"Archery",TPE,0.0822325619485725,0
"Archery",EUN,0.0631009046789046,0
"Archery",AUS,0.0538980813641187,31.25
"Archery",FRA,0.0526120574915867,31.25
"Archery",SWE,0.0515324054877721,0
"Archery",INA,0.0459199652861335,0
"Archery",POL,0.0343549369918481,0
"Archery",NED,0.0336080905355036,0
"Archery",RUS,0.032893024779429,0
"Archery",ESP,0.0197190327121577,31.25
"Archery",ARG,0,0
"Archery",ASA,0,0
"Archery",AUT,0,0
"Archery",AZE,0,0
"Archery",BAN,0,0
"Archery",BEL,0,0
"Archery",BHU,0,0
"Archery",BLR,0,0
"Archery",BRA,0,0
"Archery",BUL,0,0
"Archery",CAF,0,0
"Archery",CAN,0,0
"Archery",CHA,0,0
"Archery",CHI,0,0
"Archery",CIV,0,0
"Archery",COL,0,0
"Archery",CRC,0,0
"Archery",CUB,0,0
"Archery",CYP,0,0
"Archery",CZE,0,0
"Archery",DEN,0,0
"Archery",DOM,0,0
"Archery",ECU,0,0
"Archery",EGY,0,0
"Archery",ESA,0,0
"Archery",EST,0,0
"Archery",FIJ,0,0
"Archery",FRG,0,0
"Archery",GEO,0,0
"Archery",GRE,0,0
"Archery",GUI,0,0
"Archery",GUM,0,0
"Archery",HKG,0,0
"Archery",HUN,0,0
"Archery",IND,0,0
"Archery",IRI,0,0
"Archery",IRL,0,0
"Archery",IRQ,0,0
"Archery",ISR,0,0
"Archery",ISV,0,0
"Archery",JOR,0,0
