sport,country,str,count
Archery,CHN,1,12
Archery,KOR,0.909090909090909,11
Archery,GBR,0.818181818181817,10
Archery,USA,0.818181818181817,10
Archery,FIN,0.727272727272726,9
Archery,FRG,0.727272727272726,9
Archery,JPN,0.727272727272726,9
Archery,BHU,0.636363636363636,8
Archery,ESP,0.636363636363636,8
Archery,FRA,0.636363636363636,8
Archery,HKG,0.636363636363636,8
Archery,SWE,0.636363636363636,8
Archery,TPE,0.636363636363636,8
Archery,BEL,0.545454545454545,7
Archery,CAN,0.545454545454545,7
Archery,TUR,0.545454545454545,7
Archery,INA,0.454545454545455,6
Archery,URS,0.454545454545455,6
Archery,KSA,0.363636363636364,5
Archery,AUS,0.272727272727274,4
Archery,IRL,0.272727272727274,4
Archery,ITA,0.272727272727274,4
Archery,LUX,0.272727272727274,4
Archery,MEX,0.272727272727274,4
Archery,NED,0.272727272727274,4
Archery,SUI,0.272727272727274,4
Archery,ZIM,0.272727272727274,4
Archery,DEN,0.181818181818181,3
Archery,IND,0.181818181818181,3
Archery,MGL,0.181818181818181,3
Archery,NZL,0.181818181818181,3
Archery,POL,0.181818181818181,3
Archery,POR,0.181818181818181,3
Archery,PUR,0.181818181818181,3
Archery,ARG,0.090909090909091,2
Archery,BRA,0.090909090909091,2
Archery,PHI,0.090909090909091,2
Archery,THA,0.090909090909091,2
Archery,AUT,0,1
Archery,COL,0,1
Archery,JOR,0,1
Archery,MLT,0,1
Archery,MON,0,1
Archery,NOR,0,1
Archery,SOL,0,1
Athletics,USA,1,183
Athletics,GBR,0.862637362637362,158
Athletics,CAN,0.554945054945055,102
Athletics,FRA,0.478021978021979,88
Athletics,FRG,0.461538461538461,85
Athletics,URS,0.450549450549451,83
Athletics,ITA,0.39010989010989,72
Athletics,CHN,0.32967032967033,61
Athletics,KEN,0.318681318681318,59
Athletics,GDR,0.313186813186813,58
Athletics,KOR,0.285714285714286,53
Athletics,AUS,0.263736263736263,49
Athletics,ESP,0.258241758241758,48
Athletics,JAM,0.258241758241758,48
Athletics,JPN,0.225274725274725,42
Athletics,POR,0.192307692307692,36
Athletics,MEX,0.181318681318681,34
Athletics,FIN,0.175824175824176,33
Athletics,SWE,0.175824175824176,33
Athletics,BRA,0.170329670329671,32
Athletics,NGR,0.164835164835165,31
Athletics,IRL,0.15934065934066,30
Athletics,SUI,0.15934065934066,30
Athletics,BEL,0.137362637362637,26
Athletics,GHA,0.120879120879121,23
Athletics,NED,0.120879120879121,23
